Security,Block,Prev_Quality,New_Quality,Quality_Loss,Future_Return,Event_Type,Quality_Jump
AAMTF,27,176.21619,55.905064,120.31113,,DROP,
AAMTF,28,55.905064,4.8249474,51.080116,,DROP,
AAP,4,2437.5896,1427.1494,1010.4402,44.36503982543945,DROP,
AAP,5,1427.1494,1.0289541,1426.1205,53.26655960083008,DROP,
AAP,12,103.65305,81.233574,22.41948,,DROP,
AAP,13,81.233574,34.94369,46.289883,,DROP,
AAP,26,133.37425,71.31318,62.061073,,DROP,
AAP,27,71.31318,55.905064,15.408115,,DROP,
AAP,28,55.905064,36.619503,19.28556,,DROP,
AAPJ,3,100.25678,67.56486,32.691925,310.731689453125,DROP,
AAPJ,4,67.56486,27.08955,40.475307,1.3105552196502686,DROP,
AAPJ,8,104.30099,57.70181,46.59918,-96.37041473388672,DROP,
AAPJ,9,57.70181,10.331876,47.369934,-90.89253234863281,DROP,
AAPJ,12,103.65305,33.410477,70.24258,,DROP,
AAPJ,15,57.139645,48.1791,8.960545,,DROP,
AAPJ,17,61.347836,1.7052516,59.642586,,DROP,
AAPJ,24,116.81446,72.53841,44.276054,,DROP,
AAPJ,26,133.37425,71.31318,62.061073,,DROP,
AAPJ,27,71.31318,-1.6182535,72.931435,,DROP,
AAPL,3,100.25678,67.56486,32.691925,106.64881134033203,DROP,
AAPL,5,312.2425,124.725586,187.5169,100.420654296875,DROP,
AAPL,6,124.725586,39.07087,85.65472,24.68379783630371,DROP,
AAPL,9,57.70181,52.251896,5.449913,8.571640014648438,DROP,
AAPL,12,103.65305,81.233574,22.41948,,DROP,
AAPL,13,81.233574,19.944904,61.28867,,DROP,
AAPL,19,112.222466,101.716034,10.506432,,DROP,
AAPL,20,101.716034,24.893658,76.82237,,DROP,
AAPL,22,124.158134,104.38473,19.773407,,DROP,
AAPL,23,104.38473,61.49995,42.884777,,DROP,
AAPL,26,240.42279,176.21619,64.206604,,DROP,
AAPL,28,532.5454,36.619503,495.9259,,DROP,
AAPL,31,51.64677,-15.356124,67.00289,,DROP,
AASP,4,2437.5896,1427.1494,1010.4402,199.78260803222656,DROP,
AASP,5,1427.1494,1.0289541,1426.1205,90.62501525878906,DROP,
AASP,7,674.15216,-32.83367,706.98584,-22.388063430786133,DROP,
AASP,11,69.411064,14.105149,55.305916,221.9621124267578,DROP,
AASP,17,77.8662,1.7052516,76.16095,,DROP,
AASP,25,634.9075,240.42279,394.48468,,DROP,
AASP,27,402.58472,68.198326,334.38638,,DROP,
AASP,28,68.198326,-42.165558,110.363884,,DROP,
AAT,5,90.74465,-47.179478,137.92413,36.773902893066406,DROP,
AAT,7,674.15216,-32.83367,706.98584,-41.99189758300781,DROP,
AAT,17,61.347836,27.855862,33.491974,,DROP,
AAT,19,112.222466,-2.7590861,114.98155,,DROP,
AAT,26,133.37425,71.31318,62.061073,,DROP,
AAT,27,71.31318,55.905064,15.408115,,DROP,
AAT,28,55.905064,29.646275,26.25879,,DROP,
AAT,30,64.79518,-26.819294,91.61447,,DROP,
AATRL,6,124.725586,39.07087,85.65472,-8.636984825134277,DROP,
AATRL,8,104.30099,57.70181,46.59918,15.896751403808594,DROP,
AATRL,9,57.70181,52.251896,5.449913,14.769913673400879,DROP,
AATRL,10,52.251896,-6.290608,58.542503,17.17299461364746,DROP,
AATRL,26,133.37425,71.31318,62.061073,,DROP,
AATRL,27,71.31318,55.905064,15.408115,,DROP,
AATRL,28,55.905064,-8.554088,64.45915,,DROP,
AAVVF,3,100.25678,67.56486,32.691925,-45.53499984741211,DROP,
AAVVF,4,67.56486,27.08955,40.475307,188.3791961669922,DROP,
AAVVF,19,212.09514,101.716034,110.379105,,DROP,
AAVVF,20,101.716034,24.893658,76.82237,,DROP,
AAVVF,25,634.9075,133.37425,501.5332,,DROP,
AAVVF,27,176.21619,55.905064,120.31113,,DROP,
AAVVF,28,55.905064,36.619503,19.28556,,DROP,
AAVVF,31,51.64677,7.8575935,43.789177,,DROP,
AB,5,1427.1494,1.0289541,1426.1205,66.69859313964844,DROP,
AB,7,80.899956,22.258486,58.64147,-39.4793586730957,DROP,
