Security,Mean_Return,Std_Return,Min_Return,Max_Return,Num_Periods,Block_ID,Cluster_ID,Start_Price_Avg,End_Price_Avg
ROWC,19900.001455191534,0.0,19900.001455191534,19900.001455191534,10,0,53,9.999999747378752e-06,0.0020000000949949
CDID,19900.000058207603,0.0,19900.000058207603,19900.000058207603,10,0,61,9.999999747378752e-05,0.0199999995529651
AQBN,19900.000058207603,0.0,19900.000058207603,19900.000058207603,10,0,61,9.999999747378752e-05,0.0199999995529651
SMEV,19750.00049549268,0.0,19750.00049549268,19750.00049549268,10,0,62,9.999999747378752e-05,0.01984999999403949
TTNN,19534.99899824623,0.0,19534.99899824623,19534.99899824623,10,0,53,0.0020000000949949,0.39269999861717225
ICOA,19170.000721047374,0.0,19170.000721047374,19170.000721047374,10,0,8,9.999999747378752e-05,0.019270000234246208
ENZC,19035.326691012357,0.0,19035.326691012357,19035.326691012357,10,0,38,0.00091999997384846,0.17604500055313105
SFRFF,18800.000036379763,0.0,18800.000036379763,18800.000036379763,10,0,21,9.999999747378752e-05,0.0188999995589256
FMNJ,18500.000817817596,0.0,18500.000817817596,18500.000817817596,10,0,38,9.999999747378752e-05,0.018600000347942052
YSGG,18081.81858821363,0.0,18081.81858821363,18081.81858821363,10,0,1,0.01099999975413076,2.0
OFSTF,17510.489582859158,0.0,17510.489582859158,17510.489582859158,10,0,61,0.05000000074505799,8.80524492263794
COUV,17300.00075836405,0.0,17300.00075836405,17300.00075836405,10,0,29,0.0006999999750405001,0.1218000009655952
MNDP,16880.00045547492,0.0,16880.00045547492,16880.00045547492,10,0,33,9.999999747378752e-05,0.01698000002652403
EXHI,16783.333424602974,0.0,16783.333424602974,16783.333424602974,10,0,51,0.0299999993294477,5.064999914169311
WNFT,15300.061206508533,0.0,15300.061206508533,15300.061206508533,10,0,33,0.00032899999350771,0.05066620036959644
LBTI,15078.316760489,0.0,15078.316760489,15078.316760489,10,0,54,0.007009999918955079,1.063999992609024
RRRT,14986.474881782735,0.0,14986.474881782735,14986.474881782735,10,0,4,0.0024400000926107,0.3681100010871887
MOOIF,14660.000724685338,0.0,14660.000724685338,14660.000724685338,10,0,61,9.999999747378752e-05,0.014760000351816358
TONR,14571.429164938756,0.0,14571.429164938758,14571.429164938758,10,0,62,6.999999823165126e-05,0.010270000156015098
XCPT,14404.99987085716,0.0,14404.999870857158,14404.999870857158,10,0,37,0.0001999999949475,0.0290099990088492
OCLG,14350.000625402588,0.0,14350.000625402588,14350.000625402588,10,0,47,0.00010999999722115876,0.01589500028640027
CDNO,13600.000170257345,0.0,13600.000170257343,13600.000170257343,10,0,52,9.999999747378752e-05,0.01369999982416623
CRSQ,13536.364252114534,0.0,13536.364252114536,13536.364252114536,10,0,59,0.0010999999940395002,0.15000000596046442
EUBG,13375.284923841766,0.0,13375.284923841768,13375.284923841768,10,0,17,0.0026300000259652204,0.3543999969959259
MTRT,13263.713890795585,0.0,13263.713890795583,13263.713890795583,10,0,23,0.0070000002160668,0.9354600012302399
REVXF,12872.508208440098,0.0,12872.508208440098,12872.508208440098,10,0,61,0.5820000171661377,75.5
PGAI,12799.99937834544,0.0,12799.99937834544,12799.99937834544,10,0,61,0.0002500000118743,0.03224999997764823
GHST,12418.181458545127,0.0,12418.181458545127,12418.181458545127,10,0,19,0.00220000008121132,0.27540000225417316
AGYP,12104.258875935337,0.0,12104.258875935337,12104.258875935337,10,0,35,0.0027000000700353995,0.32951499819755553
TGGI,11955.00022228047,0.0,11955.00022228047,11955.00022228047,10,0,53,9.999999747378752e-05,0.01205499991774555
VRSEF,11939.999287538885,0.0,11939.999287538885,11939.999287538885,10,0,13,0.0010000000474973997,0.12039999859407544
ARAT,11840.000165154557,0.0,11840.000165154557,11840.000165154557,10,0,6,0.0299999993294477,3.581999969482422
ETPHF,11800.000062573175,0.0,11800.000062573175,11800.000062573175,10,0,6,9.999999747378752e-05,0.011899999761953889
NSPT,11504.00026921032,0.0,11504.00026921032,11504.00026921032,10,0,48,4.999999873689376e-05,0.005801999988034309
SGGDF,11490.000412546757,0.0,11490.000412546757,11490.000412546757,10,0,4,9.999999747378752e-05,0.011590000119758718
IFAN,10934.539047857434,0.0,10934.539047857434,10934.539047857434,10,0,0,0.00030400001269296,0.03354500010609623
VTON,10900.000218278381,0.0,10900.000218278381,10900.000218278381,10,0,61,9.999999747378752e-06,0.0010999999940395002
VPSN,10900.000218278381,0.0,10900.000218278381,10900.000218278381,10,0,61,9.999999747378752e-06,0.0010999999940395002
CGAM,10900.000218278381,0.0,10900.000218278381,10900.000218278381,10,0,61,9.999999747378752e-06,0.0010999999940395002
MKGP,10835.713986657629,0.0,10835.713986657629,10835.713986657629,10,0,53,0.0028000001097097894,0.3062000036239624
VPER,10800.000292493469,0.0,10800.000292493469,10800.000292493469,10,0,3,9.999999747378752e-05,0.010900000017136301
KARE,10730.000037107324,0.0,10730.000037107324,10730.000037107324,10,0,33,9.999999747378752e-05,0.01082999976351851
PBYA,10539.000300860786,0.0,10539.000300860786,10539.000300860786,10,0,37,9.999999747378752e-05,0.01063900003209703
EGOC,10137.894558185044,0.0,10137.894558185044,10137.894558185044,10,0,45,0.04750000070780509,4.862999987602234
AMEUF,9968.142918178151,0.0,9968.142918178151,9968.142918178151,10,0,5,0.0587000004947185,5.909999942779541
GRHI,9959.999345746432,0.0,9959.999345746432,9959.999345746432,10,0,48,0.0005000000237486998,0.0502999991178512
CTNI,9900.000727595265,0.0,9900.000727595265,9900.000727595265,10,0,31,9.999999747378752e-06,0.0010000000474973997
NNYR,9900.000727595265,0.0,9900.000727595265,9900.000727595265,10,0,1,9.999999747378752e-06,0.0010000000474973997
NEVE,9900.000223517505,0.0,9900.000223517505,9900.000223517505,10,0,60,0.0099999997764825,1.0
XEPRF,9900.000029103749,0.0,9900.000029103749,9900.000029103749,10,0,5,9.999999747378752e-05,0.0099999997764825
GMZP,9770.00015352639,0.0,9770.00015352639,9770.00015352639,10,0,25,0.0001999999949475,0.01973999980837102
KYNC,9629.412137066694,0.0,9629.412137066694,9629.412137066694,10,0,31,0.00016999999570538625,0.01654000021517271
HERF,9359.45918064559,0.0,9359.45918064559,9359.45918064559,10,0,50,0.0003700000124808712,0.0350000001490116
SEGI,9336.500217736553,0.0,9336.500217736553,9336.500217736553,10,0,13,0.0001999999949475,0.018872999958693935
INSD,9170.050949869621,0.0,9170.050949869621,9170.050949869621,10,0,61,0.09849999845027921,9.13100004196167
FERN,8949.999783662282,0.0,8949.999783662282,8949.999783662282,10,0,6,0.00045000000682189986,0.0407249996438622
MZPS,8900.000072759125,0.0,8900.000072759125,8900.000072759125,10,0,61,9.999999747378752e-06,0.0008999999845399999
STZU,8900.000072759125,0.0,8900.000072759125,8900.000072759125,10,0,2,9.999999747378752e-06,0.0008999999845399999
RVTI,8782.105122298684,0.0,8782.105122298684,8782.105122298684,10,0,4,0.0076000001281499,0.6750400006771088
IHAI,8744.142685733288,0.0,8744.142685733288,8744.142685733288,10,0,37,0.008110000286251268,0.7172599971294403
SDAD,8604.41464698752,0.0,8604.41464698752,8604.41464698752,10,0,59,0.0052099998574703195,0.45349999070167535
