Security,Num_Blocks,Avg_Change_Per_Block,Max_Increase,Max_Decrease,Early_Cluster_Quality,Late_Cluster_Quality,Quality_Improvement,Final_Return
AAPL,10,-0.6113173729356036,9.661835748792273,-10.55072463768116,8.201598468602256,8.45450334193634,0.2529048733340833,135.91643956855697
AAPT,10,0.7157515982474972,11.048510313216196,-5.980515373304747,6.1089833980351536,8.79391164527294,2.684928247237787,23414.286277654373
AAQL,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AARTY,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AASP,10,0.5621758799514509,7.53784659931388,-13.694366635543105,4.5856043541896225,6.9352189741474035,2.349614619957781,34.504131106769826
AASZF,10,0.5941772024171734,10.04140244679384,-3.4971784971784965,0.5563730801296484,8.509822398711288,7.953449318581639,0.0
AAT,10,0.38427755819060216,24.46875,-28.196022727272727,7.448492819186034,6.209697897828343,-1.238794921357691,-19.99578974313443
AATC,10,-1.051392966123137,9.246039320481009,-8.853239754355183,11.374977425979417,5.398407409773177,-5.97657001620624,55.40712555475163
AATGF,10,0.06498540149373581,8.662919092551697,-10.042812461290723,4.860904988289872,3.770469341378886,-1.090435646910986,256.60000445793105
AATRL,10,-0.6784188034188036,5.959085906648539,-5.969899665551841,6.247212931995541,4.396440076618345,-1.8507728553771967,18.100041118321617
AATV,10,-0.9047742381075715,6.868607006967435,-9.627771374330463,9.875170373267919,6.471360023991603,-3.4038103492763154,39.450982775426056
AAUAF,10,0.18518518518518537,9.361704117223516,-6.252761820592134,7.6675456560159345,6.597770907286538,-1.0697747487293965,-40.24577741384662
AAUCF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AAUGF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AAUKF,10,0.22140822140822142,11.13699012526606,-9.830369916206827,4.615647857151502,7.603154664287293,2.987506807135791,41.55494750672908
AAVMY,10,1.204071355357684,10.859443968674348,-0.11109000878821856,0.5563730801296484,4.052936412918641,3.496563332788993,0.0
AAVVF,10,-0.6748147723435839,6.2604722010662615,-8.011011381511985,7.727458223895719,4.170985092954704,-3.556473130941015,219.7837088510599
AAVXF,10,0.16890129170436946,11.595885865958858,-9.381433651506644,0.5563730801296484,5.586078477593886,5.029705397464237,0.0
AAWH,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AAYYY,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AB,10,-1.6029540338932609,10.089514066496163,-14.197028970536293,8.012402130569988,6.897101782324164,-1.1153003482458246,76.90983368915883
ABANF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ABAT,10,0.3015836171406614,10.735925271396113,-15.542238040406154,3.793683116246163,7.241140044250685,3.4474569280045215,0.0
ABBB,10,-0.18936229462545245,6.781880073317621,-4.954394693200664,11.786381739563637,5.902141340083209,-5.884240399480428,-12.155554029676647
ABBNY,10,0.04360718646432929,9.434112329166611,-6.180739092131497,6.614584220994698,3.740487155121302,-2.874097065873396,66.17969426540652
ABBRF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ABBV,10,-0.6550798586196817,4.316045945005222,-5.7839897430341125,6.124390029407984,3.3664360344543365,-2.757953994953647,41.72991788990662
ABBY,10,0.7332065382177014,13.503455608718763,-10.291843516599219,10.943613329135587,6.888583832464833,-4.0550294966707545,-97.64150952785808
ABCB,10,1.2626262626262623,17.5,-12.718446601941748,8.473597359735974,6.911927365396463,-1.5616699943395114,23.93284896799408
ABCCF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ABCE,10,0.8471490071131159,13.6669518027998,-12.646854298576292,5.139726419560975,5.365362882108106,0.225636462547131,-97.762468290065
ABCFF,10,-1.0688948374408316,7.155733784628968,-9.617115557709617,6.696762506932759,5.018131607230467,-1.6786308997022923,95.45454976479871
ABCL,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ABCP,10,-1.3960269913193917,6.536282340091473,-5.895691609977324,11.123578870265172,4.8571212465017775,-6.266457623763395,10.397668568916
ABCZF,10,-1.2738496071829404,4.4362218508792886,-8.256302521008402,14.217596129360835,6.976976976976978,-7.240619152383857,36.88770227924779
ABDBY,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ABDDF,10,1.3081651115270339,12.629107981220658,-1.1382113821138216,0.5563730801296484,8.744226878888506,8.187853798758859,0.0
ABEO,10,-0.38282864604331696,7.169823126981479,-7.3519090398652445,7.130986860305595,2.948796590525126,-4.1821902697804685,-55.80808080808081
ABEPF,10,-0.2526343446286148,6.366459627329192,-3.9835164835164827,1.8209799891286018,3.4633445474400006,1.6423645583113988,157.16879638119045
ABEV,10,-0.30241865562422404,14.937430882952096,-10.722267307572256,5.222725368236348,6.84954903089618,1.6268236626598327,-38.929439501382525
