Security,Acquisition_Event_Count,Acquisition_Quality_Jump_Sum,Acquisition_Quality_Jump_Avg,Acquisition_Quality_Jump_Max,Acquisition_Final_Return_Mean,Acquisition_Final_Return_Median,Loss_Event_Count,Loss_Quality_Loss_Sum,Loss_Quality_Loss_Avg,Loss_Quality_Loss_Max,Loss_Final_Return_Mean,Loss_Final_Return_Median,Total_Event_Count,Net_Quality_Delta,Event_Balance_Ratio,Weighted_Avg_Final_Return,Quality_Momentum_Score,Unique_Clusters,Unique_Blocks,Events_Per_Block,Net_Quality_Delta_Percentile,Quality_Momentum_Score_Percentile,Weighted_Avg_Final_Return_Percentile,Acquisition_Quality_Jump_Avg_Percentile,Loss_Quality_Loss_Avg_Percentile,Event_Balance_Ratio_Percentile,Events_Per_Block_Percentile,Composite_Quality_Event_Rank
ABBB,1.0,6.781880073317621,6.781880073317621,6.781880073317621,-12.155554029676647,-12.155554029676647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.781880073317621,1.0,-12.155554029676647,-82.43750965399977,1,1,1.0,0.786331500392773,0.03927729772191673,0.23252160251374707,0.31814611154752553,0.05734485467399843,0.94344069128044,0.5003927729772192,0.46948153967007067
APCFF,1.0,5.87115201523326,5.87115201523326,5.87115201523326,0.0,0.0,1.0,6.176305446378438,6.176305446378438,6.176305446378438,0.0,0.0,2.0,-0.305153431145178,0.5,0.0,-0.0,2,2,1.0,0.4642576590730558,0.48978790259230165,0.40769835035349566,0.17596229379418696,0.24901806755695208,0.49410840534171246,0.5003927729772192,0.4692262372348782
ANZGY,1.0,7.293371522094928,7.293371522094928,7.293371522094928,5.310801323751056,5.310801323751056,1.0,10.337892196299274,10.337892196299274,10.337892196299274,5.310801323751056,5.310801323751056,2.0,-3.044520674204346,0.5,5.310801323751056,-0.0,2,2,1.0,0.3534956794972506,0.48978790259230165,0.5443833464257659,0.410840534171249,0.812254516889238,0.49410840534171246,0.5003927729772192,0.468872741555381
AFSIA,2.0,12.987285492098653,6.493642746049327,7.312549303395984,6.256821876813941,6.256821876813941,2.0,16.268641190572488,8.134320595286244,9.275071153524191,6.256821876813941,6.256821876813941,4.0,-3.281355698473835,0.5,6.256821876813941,-0.0,4,4,1.0,0.3440691280439906,0.48978790259230165,0.5522388059701493,0.27219167321288296,0.5773762765121759,0.49410840534171246,0.5003927729772192,0.4680871956009427
AASP,2.0,13.468489188537427,6.734244594268714,7.53784659931388,34.504131106769826,34.504131106769826,2.0,19.585628183324417,9.792814091662208,13.694366635543105,34.504131106769826,34.504131106769826,4.0,-6.117138994786989,0.5,34.504131106769826,-0.0,4,4,1.0,0.2474469756480754,0.48978790259230165,0.6716417910447762,0.3071484681853888,0.769835035349568,0.49410840534171246,0.5003927729772192,0.46781225451688924
ASFT,1.0,6.64946046006855,6.64946046006855,6.64946046006855,0.0,0.0,1.0,7.135076252723311,7.135076252723311,7.135076252723311,0.0,0.0,2.0,-0.4856157926547615,0.5,0.0,-0.0,2,2,1.0,0.45718774548311075,0.48978790259230165,0.40769835035349566,0.29340141398271796,0.4289080911233307,0.49410840534171246,0.5003927729772192,0.46745875883739196
ABCZF,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.782913165266104,7.391456582633052,8.256302521008402,36.88770227924779,36.88770227924779,2.0,-14.782913165266104,0.0,36.88770227924779,545.3076996603086,2,2,1.0,0.03613511390416339,0.96700706991359,0.6779261586802828,0.037706205813040065,0.46582875098193244,0.037706205813040065,0.5003927729772192,0.4670856245090338
AOTUF,3.0,24.460356292304045,8.153452097434682,11.017633598061648,15.533989347087234,15.533989347087232,3.0,29.02527352381663,9.675091174605543,10.82727739120473,15.533989347087234,15.533989347087232,6.0,-4.5649172315125846,0.5,15.533989347087234,-0.0,5,6,1.0,0.3079340141398272,0.48978790259230165,0.5923016496465043,0.5569520816967792,0.7635506677140613,0.49410840534171246,0.5003927729772192,0.46706598586017284
AWRE,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.28503343457978,7.095011144859927,9.956709956709956,42.30769211355093,42.30769211355093,3.0,-21.28503343457978,0.0,42.30769211355093,900.5206411768388,3,3,1.0,0.007069913589945012,0.9780047132757266,0.6991358994501178,0.037706205813040065,0.422623723487824,0.037706205813040065,0.5003927729772192,0.4668106834249803
AKKVF,1.0,9.615384615384617,9.615384615384617,9.615384615384617,-43.93382403293823,-43.93382403293823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.615384615384617,1.0,-43.93382403293823,-422.44061570132925,1,1,1.0,0.8853102906520032,0.024351924587588374,0.11233307148468186,0.753338570306363,0.05734485467399843,0.94344069128044,0.5003927729772192,0.46645718774548317
ASTO,2.0,16.05123426149709,8.025617130748545,11.017705698556762,-18.918916741977927,-18.918916741977927,2.0,13.337724367136133,6.668862183568066,8.160956690368455,-18.918916741977927,-18.918916741977927,4.0,2.713509894360957,0.5,-18.918916741977927,0.0,4,4,1.0,0.617439120188531,0.48978790259230165,0.20188531029065201,0.5341712490180676,0.33385703063629224,0.49410840534171246,0.5003927729772192,0.46635899450117835
