security,block,model_proba,position_size,final_value,pnl,return_pct,binding_constraint,capital_cap,volume_cap,security_limit,days_held
GNCAQ,11,0.6716906597794119,328755.727296225,328755.75121635536,0.0239201303338632,7.275958523678128e-06,volume,50000133.558662176,328755.727296225,50000133.558662176,500
PSCR,8,0.6705744864626504,122.14345456970392,409.18053553328394,287.03708096358,234.99996948242188,volume,50000136.600872785,122.14345456970392,50000136.600872785,500
AMBS,11,0.6694825809955565,32911.901516033126,32911.901516033126,0.0,0.0,volume,50000137.6436467,32911.901516033126,50000137.6436467,500
EAPH,10,0.6691814440604127,648.3918088833631,3241.9586486698613,2593.5668397864983,399.99993896484375,volume,50000138.68642061,648.3918088833631,50000138.68642061,500
VGID,11,0.6683298803912061,624.7702724794385,624.7702724794385,0.0,0.0,volume,50000143.894943,624.7702724794385,50000143.894943,500
SEII,11,0.6675372151845768,5427269.77457969,5427269.77457969,0.0,0.0,volume,50000146.49920419,5427269.77457969,50000146.49920419,500
XFCI,9,0.6640915874602138,4398.338676672915,3998.4899196086753,-399.8487570642401,-9.090904235839844,volume,50000162.12477135,4398.338676672915,50000162.12477135,500
FFRMF,8,0.6636071937886507,1187.692341560142,516.3880553557817,-671.3042862043603,-56.521732330322266,volume,50000163.38691707,1187.692341560142,50000163.38691707,500
CCTL,9,0.6631464023154301,12462.86203240679,2898.339963311304,-9564.522069095487,-76.74418640136719,volume,50000165.77694765,12462.86203240679,50000165.77694765,500
INCC,8,0.6618977581324692,955.8044029102671,220.99520310288676,-734.8091998073803,-76.87861633300781,volume,50000166.01551074,955.8044029102671,50000166.01551074,500
AGTK,8,0.6606123663814552,6268.392380060188,3482.4398391798045,-2785.9525408803834,-44.44445037841797,volume,50000167.00600372,6268.392380060188,50000167.00600372,500
VRUS,10,0.6601302219156377,2075254.491423138,2075254.642417794,0.15099465614184737,7.275958523678128e-06,volume,50000166.77897754,2075254.491423138,50000166.77897754,500
BBBT,8,0.6595188429489165,3285.863123359646,26.990445504256513,-3258.8726778553896,-99.1785888671875,volume,50000166.43848357,3285.863123359646,50000166.43848357,500
SAPMF,9,0.6562818725476546,374.33161545405505,1339.649778604973,965.318163150918,257.8778076171875,volume,50000162.044631004,374.33161545405505,50000162.044631004,500
ZLDAF,9,0.6544063261266537,146.66381567131313,83.55749946583273,-63.1063162054804,-43.027870178222656,volume,50000161.01607068,146.66381567131313,50000161.01607068,500
NICH,9,0.652627040245419,99569.87053653524,5891645.503486468,5792075.632949933,5817.0966796875,volume,50000158.921086244,99569.87053653524,50000158.921086244,500
USRM,11,0.6504565872558272,73256.97343748009,73256.97343748009,0.0,0.0,volume,50003632.07148158,73256.97343748009,50003632.07148158,500
DGTW,8,0.6504554654215892,73488.59840735699,3195.154989867224,-70293.44341748976,-95.65217590332033,volume,50004210.9298808,73488.59840735699,50004210.9298808,500
BDGR,10,0.6499201686374462,199.36111477537844,199.36111477537844,0.0,0.0,volume,50005354.58799056,199.36111477537844,50005354.58799056,500
GMVMF,8,0.6483962942596401,136.55819946972392,172.7804983804665,36.22229891074258,26.52517318725586,volume,50009929.22042961,136.55819946972392,50009929.22042961,500
CTMX,10,0.6476508049243901,362898.6741299328,243309.493253851,-119589.18087608184,-32.95387649536133,volume,50012216.55113805,362898.6741299328,50012216.55113805,500
MAJI,9,0.6474068362466264,1371.532621305398,212.67430255958925,-1158.8583187458087,-84.4936752319336,volume,50013336.29865609,1371.532621305398,50013336.29865609,500
VMHG,8,0.6464680473193003,902.698431854279,42.959580355184244,-859.7388514990947,-95.24098205566406,volume,50014455.814402476,902.698431854279,50014455.814402476,500
GRNF,9,0.6463171361220357,1375.2492271907408,213.20906195554494,-1162.040165235196,-84.49669647216797,volume,50016694.501999706,1375.2492271907408,50016694.501999706,500
EGOC,9,0.6440547258762964,576.7819791780461,0.08360944827563799,-576.6983697297704,-99.98550415039062,volume,50019492.28047615,576.7819791780461,50019492.28047615,500
GBHPF,9,0.6437768184156377,257.65169446470867,392.44163431084553,134.78993984613686,52.314788818359375,volume,50020611.276527055,257.65169446470867,50020611.276527055,500
LIQDQ,8,0.6436273561801498,251.77923139808843,17.984219837445806,-233.79501156064262,-92.85714721679688,volume,50021170.7880315,251.77923139808843,50021170.7880315,500
PHUN,8,0.6435724900348485,6894454.792578644,250138.07032983564,-6644316.7222488085,-96.37189483642578,volume,50021730.27615645,6894454.792578644,50021730.27615645,500
ZPAS,9,0.641994944619586,488.2161606819527,2.5641479874682886,-485.6520126944844,-99.47479248046876,volume,50021310.501967326,488.2161606819527,50021310.501967326,500
VYGVQ,11,0.6411334113461505,25630.307469533534,23300.276851252383,-2330.030618281151,-9.090919494628906,volume,50020890.533517405,25630.307469533534,50020890.533517405,500
