size,final_value,pnl,return_pct,security,model_proba,days_held
50000,29390.235900878903,-20609.764099121097,-41.21952819824219,SLMXF,0.6641456768080738,500
50000,45454.54788208008,-4545.452117919922,-9.090904235839844,XFCI,0.6640915874602138,500
50000,21739.13383483887,-28260.86616516113,-56.521732330322266,FFRMF,0.6636071937886507,500
50000,499999.9084472656,449999.9084472656,899.9998168945312,PHRX,0.6631583358100235,500
50000,11627.906799316406,-38372.093200683594,-76.74418640136719,CCTL,0.6631464023154301,500
50000,11560.691833496096,-38439.308166503906,-76.87861633300781,INCC,0.6618977581324692,500
50000,9780.086517333986,-40219.913482666016,-80.43982696533203,FSVEF,0.6613998497178907,500
50000,50000.0,0.0,0.0,LGBI,0.6613156486160474,500
50000,50000.0,0.0,0.0,KLGG,0.661193924553676,500
50000,666333.3740234375,616333.3740234375,1232.666748046875,VOYRF,0.6606822094741585,500
50000,19999.99618530273,-30000.00381469727,-60.00000762939453,QMDT,0.660629570093302,500
50000,27777.774810791012,-22222.225189208988,-44.44445037841797,AGTK,0.6606123663814552,500
50000,1428.5697937011732,-48571.43020629883,-97.14286041259766,EXLA,0.6604172448750605,500
50000,50000.003637979265,0.0036379792654770426,7.275958523678128e-06,VRUS,0.6601302219156377,500
50000,6250.0,-43750.0,-87.5,JMBRF,0.660021827755493,500
50000,320798.095703125,270798.095703125,541.59619140625,TFGL,0.659871517390777,500
50000,410.7055664062498,-49589.29443359375,-99.1785888671875,BBBT,0.6595188429489165,500
50000,50000.0,0.0,0.0,UCLQF,0.6594348092739096,500
50000,11846.153259277342,-38153.846740722656,-76.30769348144531,ROBOF,0.6591644247829924,500
50000,16.666412353522063,-49983.33358764648,-99.96666717529295,CHMN,0.6588700621336223,500
50000,50000.0,0.0,0.0,SLNM,0.6586390161970589,500
50000,12195.117950439455,-37804.88204956055,-75.6097640991211,URBT,0.6577909567874236,500
50000,16666.664123535156,-33333.335876464844,-66.66667175292969,KGRI,0.6576258792158669,500
50000,117692.32940673828,67692.32940673828,135.38465881347656,GODZF,0.6574471352215997,500
50000,117692.32940673828,67692.32940673828,135.38465881347656,MSOVF,0.6574471352215997,500
50000,30656.03828430176,-19343.96171569824,-38.68792343139648,NLGCF,0.6564283265934929,500
50000,178938.90380859375,128938.90380859375,257.8778076171875,SAPMF,0.6562818725476546,500
50000,1000.0000000000009,-49000.0,-98.0,STIE,0.6552876190008138,500
50000,1149999.755859375,1099999.755859375,2199.99951171875,CDIV,0.6551084495000373,500
50000,28486.064910888676,-21513.935089111324,-43.027870178222656,ZLDAF,0.6544063261266537,500
50000,375000000.0,374950000.0,749900.0,CCHI,0.6540007098169298,500
50000,35346.659660339355,-14653.340339660645,-29.30668067932129,GRHI,0.6539982403329806,500
50000,29999.998092651364,-20000.001907348636,-40.00000381469727,TVBCF,0.6538701036508952,500
50000,2500.0000000000023,-47500.0,-95.0,IDLM,0.6533083862119821,500
50000,104166.66412353517,54166.66412353517,108.33332824707033,ORMTQ,0.6532531083488601,500
