Security,Mean_Return,Std_Return,Min_Return,Max_Return,Num_Periods,Block_ID,Cluster_ID,Start_Price_Avg,End_Price_Avg,Unique_Clusters,Stability_Score
KWESW,0.0,0.0,0.0,0.0,10,0,61,0.0297999996691942,0.0297999996691942,10,0.1
KSEZ,0.0,0.0,0.0,0.0,10,0,61,1.1799999475479126,1.1799999475479126,10,0.1
KSHDF,0.0,0.0,0.0,0.0,10,0,61,29.25,29.25,10,0.1
KSHTY,0.0,0.0,0.0,0.0,10,0,61,2.900000095367432,2.900000095367432,10,0.1
KSPI,0.0,0.0,0.0,0.0,10,0,61,95.97000122070312,95.97000122070312,10,0.1
KSPY,0.0,0.0,0.0,0.0,10,0,61,25.05900001525879,25.05900001525879,10,0.1
KYYWY,0.0,0.0,0.0,0.0,10,0,61,40.5,40.5,10,0.1
KYHHY,0.0,0.0,0.0,0.0,10,0,61,11.739999771118164,11.739999771118164,10,0.1
KYKOY,0.0,0.0,0.0,0.0,10,0,61,17.520000457763672,17.520000457763672,10,0.1
KYTX,0.0,0.0,0.0,0.0,10,0,61,30.100000381469727,30.100000381469727,10,0.1
TPSRF,0.0,0.0,0.0,0.0,10,0,61,1.2100000381469729,1.2100000381469729,10,0.1
PWDY,0.0,0.0,0.0,0.0,10,0,55,0.000399999989895,0.000399999989895,9,0.1111111111111111
PWM,0.0,0.0,0.0,0.0,10,0,61,19.09000015258789,19.09000015258789,10,0.1
PWMCF,0.0,0.0,0.0,0.0,10,0,61,0.0595000013709068,0.0595000013709068,10,0.1
PVOZ,0.0,0.0,0.0,0.0,10,0,61,115.0,115.0,10,0.1
PVTRF,0.0,0.0,0.0,0.0,10,0,61,1.5499999523162842,1.5499999523162842,10,0.1
PWRHF,0.0,0.0,0.0,0.0,10,0,61,6.369999885559082,6.369999885559082,10,0.1
PWRLF,0.0,0.0,0.0,0.0,10,0,61,0.696399986743927,0.696399986743927,10,0.1
PWUP,0.0,0.0,0.0,0.0,10,0,61,9.989999771118164,9.989999771118164,10,0.1
PUCKW,0.0,0.0,0.0,0.0,10,0,61,0.0070000002160668,0.0070000002160668,10,0.1
PTTCF,0.0,0.0,0.0,0.0,10,0,61,1.5199999809265137,1.5199999809265137,10,0.1
PTVLF,0.0,0.0,0.0,0.0,10,0,61,27.031700134277344,27.031700134277344,10,0.1
LABZF,0.0,0.0,0.0,0.0,10,0,61,10.5,10.5,10,0.1
LAC,0.0,0.0,0.0,0.0,10,0,61,11.06999969482422,11.06999969482422,10,0.1
TRAIF,0.0,0.0,0.0,0.0,10,0,61,0.2000000029802321,0.2000000029802321,10,0.1
AOMN,0.0,0.0,0.0,0.0,10,0,61,24.850000381469727,24.850000381469727,10,0.1
LBPWQ,0.0,0.0,0.0,0.0,10,0,61,9.999999747378752e-05,9.999999747378752e-05,10,0.1
LDTCW,0.0,0.0,0.0,0.0,10,0,61,0.0199999995529651,0.0199999995529651,10,0.1
RVMDW,0.0,0.0,0.0,0.0,10,0,61,0.3485000133514404,0.3485000133514404,10,0.1
RVPHW,0.0,0.0,0.0,0.0,10,0,61,0.0900000035762786,0.0900000035762786,10,0.1
RVRVD,0.0,0.0,0.0,0.0,10,0,61,0.3779999911785126,0.3779999911785126,10,0.1
SEDN,0.0,0.0,0.0,0.0,10,0,46,9.999999747378752e-05,9.999999747378752e-05,9,0.1111111111111111
RVRVF,0.0,0.0,0.0,0.0,10,0,61,0.3779999911785126,0.3779999911785126,10,0.1
RVSN,0.0,0.0,0.0,0.0,10,0,61,24.71999931335449,24.71999931335449,10,0.1
RVSNW,0.0,0.0,0.0,0.0,10,0,61,0.0350000001490116,0.0350000001490116,10,0.1
WKISF,0.0,0.0,0.0,0.0,10,0,61,26.860000610351555,26.860000610351555,10,0.1
WLCOF,0.0,0.0,0.0,0.0,10,0,61,0.0324999988079071,0.0324999988079071,10,0.1
