security,block,model_proba,position_size,final_value,pnl,return_pct,binding_constraint,capital_cap,volume_cap,security_limit,days_held
FFRMF,8,0.6636071937886507,1068.923107404128,464.74924982020354,-604.1738575839244,-56.521732330322266,volume,50000147.08021307,1187.692341560142,50000147.08021307,500
CCTL,9,0.6631464023154301,11216.575829166111,2608.505966980174,-8608.069862185937,-76.74418640136719,volume,50000149.365208074,12462.86203240679,50000149.365208074,500
INCC,8,0.6618977581324692,860.2239626192402,198.895682792598,-661.3282798266422,-76.87861633300781,volume,50000150.37992576,955.8044029102671,50000150.37992576,500
AGTK,8,0.6606123663814552,5641.553142054168,3134.1958552618235,-2507.357286792345,-44.44445037841797,volume,50000151.81268828,6268.392380060188,50000151.81268828,500
VRUS,10,0.6601302219156377,1867729.0422808242,1867729.1781760147,0.13589519052766263,7.275958523678128e-06,volume,50000150.54989767,2075254.491423138,50000150.54989767,500
BBBT,8,0.6595188429489165,2957.276811023681,24.291400953830816,-2932.9854100698503,-99.1785888671875,volume,50000150.35179833,3285.863123359646,50000150.35179833,500
SAPMF,9,0.6562818725476546,336.8984539086495,1205.6848007444758,868.7863468358262,257.8778076171875,volume,50000146.13346624,374.33161545405505,50000146.13346624,500
ZLDAF,9,0.6544063261266537,131.99743410418182,75.20174951924946,-56.79568458493236,-43.027870178222656,volume,50000144.74070614,146.66381567131313,50000144.74070614,500
NICH,9,0.652627040245419,89612.8834828817,5302480.9531378215,5212868.06965494,5817.0966796875,volume,50000143.04033656,99569.87053653524,50000143.04033656,500
USRM,11,0.6504565872558272,65931.27609373209,65931.27609373209,0.0,0.0,volume,50002226.29071929,73256.97343748009,50002226.29071929,500
DGTW,8,0.6504554654215892,66139.7385666213,2875.6394908805014,-63264.09907574079,-95.65217590332033,volume,50002978.94630391,73488.59840735699,50002978.94630391,500
BDGR,10,0.6499201686374462,179.42500329784062,179.42500329784062,0.0,0.0,volume,50004828.9702734,199.36111477537844,50004828.9702734,500
GMVMF,8,0.6483962942596401,122.9023795227515,155.5024485424198,32.60006901966831,26.52517318725586,volume,50008942.62479638,136.55819946972392,50008942.62479638,500
CTMX,10,0.6476508049243901,326608.80671693955,218978.5439284659,-107630.26278847366,-32.95387649536133,volume,50010994.888779625,362898.6741299328,50010994.888779625,500
MAJI,9,0.6474068362466264,1234.379359174858,191.40687230363028,-1042.9724868712278,-84.4936752319336,volume,50012019.40475564,1371.532621305398,50012019.40475564,500
VMHG,8,0.6464680473193003,812.4285886688513,38.66362231966582,-773.7649663491854,-95.24098205566406,volume,50013034.31014063,902.698431854279,50013034.31014063,500
GRNF,9,0.6463171361220357,1237.7243044716668,191.88815575999047,-1045.8361487116763,-84.49669647216797,volume,50015034.99947629,1375.2492271907408,50015034.99947629,500
EGOC,9,0.6440547258762964,519.1037812602415,0.07524850344805145,-519.0285327567934,-99.98550415039062,volume,50017543.28483638,576.7819791780461,50017543.28483638,500
GBHPF,9,0.6437768184156377,231.88652501823785,353.19747087976106,121.31094586152321,52.314788818359375,volume,50018550.39229756,257.65169446470867,50018550.39229756,500
LIQDQ,8,0.6436273561801498,226.60130825827963,16.185797853701217,-210.4155104045784,-92.85714721679688,volume,50019053.89521389,251.77923139808843,50019053.89521389,500
PHUN,8,0.6435724900348485,6205009.31332078,225124.2632968519,-5979885.050023928,-96.37189483642578,volume,50019557.3637133,6894454.792578644,50019557.3637133,500
ZPAS,9,0.641994944619586,439.3945446137575,2.3077331887214996,-437.086811425036,-99.47479248046876,volume,50020508.38374756,488.2161606819527,50020508.38374756,500
VYGVQ,11,0.6411334113461505,23067.276722580187,20970.24916612715,-2097.0275564530384,-9.090919494628906,volume,50019333.1105026,25630.307469533534,50019333.1105026,500
AAPJ,8,0.6410305297948746,6053.315331318685,104.36325367930658,-5948.952077639378,-98.27593231201172,volume,50018707.08213594,6725.905923687428,50018707.08213594,500
BLFE,9,0.6404501379384754,29029.137661361096,142.05611562632475,-28887.08154573477,-99.5106430053711,volume,50019210.410984725,32254.59740151233,50019210.410984725,500
COUV,10,0.6396418117494632,612.8108302785415,73.83259635614525,-538.9782339223963,-87.95181274414062,volume,50018128.484371744,680.9009225317128,50018128.484371744,500
DOCKF,9,0.6389199526908836,108.20734904222627,721.3822829184921,613.1749338762659,566.6666259765625,volume,50018029.24604089,120.23038782469587,50018029.24604089,500
FSSN,9,0.6388736302982744,623.1592009374934,69.23988480234709,-553.9193161351463,-88.8888931274414,volume,50017929.1818111,692.3991121527705,50017929.1818111,500
CRSM,9,0.6366423519315034,368.3443760181624,177.2199942283963,-191.1243817897661,-51.88741683959961,volume,50016843.55415699,409.27152890906933,50016843.55415699,500
EVIO,8,0.6361065075369086,673722.7028334911,117169.16347534792,-556553.5393581432,-82.60869598388672,volume,50016548.83250572,748580.7809261014,50016548.83250572,500
REFG,8,0.6354367192974926,421.2859356612889,122.54814198484854,-298.73779367644033,-70.91093444824219,volume,50016444.39953267,468.09548406809864,50016444.39953267,500
GZIC,11,0.6353094267510269,22093.80504625164,22093.80504625164,0.0,0.0,volume,50016327.591136664,24548.672273612934,50016327.591136664,500
SULZF,8,0.6337731818686063,194.9651681335443,184.64233314727596,-10.322834986268333,-5.294707298278809,volume,50014855.53031103,216.62796459282697,50014855.53031103,500
PSSR,9,0.6334495066319459,92.48466074165133,10.767852897195326,-81.716807844456,-88.35714721679688,volume,50014701.56180279,102.76073415739036,50014701.56180279,500
APRU,11,0.632331270890048,860.8637270950746,733.0127268814753,-127.85100021359938,-14.851479530334473,volume,50014393.68021381,956.5152523278607,50014393.68021381,500
FITSD,8,0.632216896644513,1599.2812948628743,151.775055136103,-1447.5062397267714,-90.50979614257812,volume,50014239.73493075,1776.9792165143044,50014239.73493075,500
FITSF,8,0.632216896644513,1620.8945278238064,153.82619500427495,-1467.0683328195314,-90.50979614257812,volume,50014085.76867785,1800.9939198042289,50014085.76867785,500
EAPH,8,0.6319627225698453,583.5526279950266,97.25880101352595,-486.2938269815006,-83.33332824707031,volume,50013777.65980921,648.3918088833631,50013777.65980921,500
PRTHU,9,0.6317536499351446,274.95084468520014,734.1703169836967,459.21947229849656,167.0187530517578,volume,50013623.49548945,305.50093853911125,50013623.49548945,500
HSCHF,9,0.630967735378412,171.4038816210728,171.4038816210728,0.0,0.0,volume,50012851.66017372,190.44875735674754,50012851.66017372,500
RSCZF,8,0.6302954723263892,857.9996897407766,26.653880284849606,-831.345809455927,-96.89348602294922,volume,50012080.20248198,953.3329886008628,50012080.20248198,500
LOTE,9,0.6301948272288516,637.1061518137136,6.125983300253438,-630.9801685134602,-99.03846740722656,volume,50011925.98449303,707.8957242374595,50011925.98449303,500
COUV,8,0.6296274785943008,612.8108302785415,7.721616567585215,-605.0892137109563,-98.7399673461914,volume,50011771.69509689,680.9009225317128,50011771.69509689,500
ACRL,9,0.6288763478747134,6210.0650862015045,1571.7758499312731,-4638.289236270231,-74.68986511230469,volume,50011462.991923355,6900.072318001671,50011462.991923355,500
BSPM,8,0.6287836810276058,6931.688731226664,6931.688731226664,0.0,0.0,volume,50011308.519886196,7701.876368029627,50011308.519886196,500
DOCKF,8,0.6260077927310488,108.20734904222627,12.008983223443721,-96.19836581878255,-88.9018783569336,volume,50009448.55868461,120.23038782469587,50009448.55868461,500
PSSR,8,0.625679669111095,92.48466074165133,1.856953859051714,-90.62770688259961,-97.99214935302734,volume,50008983.77333228,102.76073415739036,50008983.77333228,500
GGII,10,0.625609661246798,1532.5788201750956,507.4763778659194,-1025.1024423091762,-66.88742065429688,volume,50008828.83959904,1702.8653557501061,50008828.83959904,500
GTVH,9,0.6249343582438988,6973.585591599236,1620.0663191598296,-5353.519272439406,-76.7685317993164,volume,50007898.76028168,7748.428435110261,50007898.76028168,500
ROYL,8,0.6246838788704735,498.4056109666899,249.20280548334495,-249.20280548334495,-50.0,volume,50007743.59313932,553.7840121852109,50007743.59313932,500
SCLF,8,0.6244433356494645,101.62189110106695,20.31388047542039,-81.30801062564656,-80.01033020019531,volume,50007588.28908678,112.91321233451885,50007588.28908678,500
