Security,Block,Winner,Future_Return,Event_Type,Avg_Price,Median_Price,Avg_Volume,Median_Volume,Price_Volatility
SBSW,14,True,27.09924,DROP,4.658088,4.742647,3376568.58,3039300.0,0.18110323
SBSW,20,True,110.881805,DROP,3.6888502,3.8249998,4023885.0,3374400.0,0.22514507
SBSW,21,True,100.16104,DROP,4.3716,4.275,4177325.5,3595950.0,0.19923523
SBSW,23,True,131.6857,DROP,6.9914994,6.4849997,4369195.0,4132750.0,0.3362938
SBSW,24,True,118.33714,DROP,7.50085,7.43,4395387.5,4154550.0,0.27233616
SBSW,28,True,5.3610477,DROP,12.8576,12.605,2733757.0,2351550.0,0.24552123
SBSW,29,False,-39.332287,DROP,15.2906,15.34,2778002.5,2404100.0,0.1952061
SBSW,30,False,-44.859272,DROP,16.689098,16.880001,2554459.5,2331000.0,0.13828017
SBSW,3,False,-43.925232,ACQ,6.923039,6.176471,1381074.39,1275714.0,0.39360493
SBSW,4,False,-52.8608,ACQ,8.942157,6.901961,1497908.25,1373379.0,0.44447508
SBSW,6,False,-60.48124,ACQ,13.6625,13.843137,1623787.98,1452582.0,0.22069615
SBSW,13,True,0.7537741,ACQ,4.986064,4.9158826,3842987.05,3009250.0,0.10469009
SBSW,19,True,163.66367,ACQ,3.19095,2.91,4076768.0,3301800.0,0.23375371
SBSW,22,True,56.486206,ACQ,5.4435496,5.0,4256815.0,3918250.0,0.29820648
SBSW,27,False,-22.19321,ACQ,10.2197,10.84,3043069.5,2488600.0,0.28338715
SBT,13,False,-29.811869,DROP,12.47025,12.0,77587.0,100.0,0.055889584
SBT,14,False,-31.223017,DROP,12.817249,12.825,112656.0,55000.0,0.057252564
SBT,29,True,47.309418,DROP,4.3075,4.4449997,71045.0,48350.0,0.20872298
SBT,30,True,29.574478,DROP,4.6708,4.66,79826.5,50450.0,0.12815036
SBT,12,False,-44.094486,ACQ,12.10985,12.0,44777.0,100.0,0.024297744
SBT,28,True,13.240422,ACQ,3.819725,3.585,86707.0,57900.0,0.20042586
SBUM,7,False,0.0,DROP,0.047227506,0.045,1863.52,0.0,0.19609082
SBUM,16,True,24.999996,DROP,0.03698565,0.035,2466.04,0.0,0.23210034
SBUM,22,True,1208.3334,DROP,0.023477802,0.024,4923.3,0.0,0.27364314
SBUM,27,False,-99.965576,DROP,0.1324355,0.14645,37671.345,7128.5,0.74447787
SBUM,28,True,15.916181,DROP,0.19684254,0.22,42490.995,12075.0,0.45970535
SBUM,29,False,-43.58974,DROP,0.23517978,0.2365,33060.685,8056.0,0.2380671
SBUM,31,True,189900.0,DROP,0.26141644,0.27239,25726.27,5882.5,0.24977903
SBUM,36,True,42.10527,DROP,0.21126251,0.204,4219.905,0.0,0.2634578
SBUM,6,False,-44.444447,ACQ,0.0451325,0.045,1981.465,0.0,0.22298412
SBUM,14,False,-55.0,ACQ,0.038031198,0.04,3641.25,0.0,0.21994615
SBUM,15,False,-29.41177,ACQ,0.0376067,0.0351,3056.975,0.0,0.23201697
SBUM,21,True,377.14285,ACQ,0.022788053,0.02,5526.115,0.0,0.28892
SBUM,25,False,-0.44017756,ACQ,0.04243825,0.0241,25102.72,0.0,1.465627
SBUM,26,False,-99.940125,ACQ,0.0884005,0.027,30460.98,3179.0,1.0643322
SBUM,30,False,-19.614145,ACQ,0.26119655,0.27275002,30185.78,6863.5,0.24017802
SBUM,35,True,15.000001,ACQ,0.163997,0.195,3789.76,0.0,0.6650695
SBUX,1,False,-14.406645,DROP,51.579655,51.725,8794033.0,7672500.0,0.10193808
