Security,Block_ID,Cluster_ID,Total_Blocks_Appeared,Unique_Clusters,Cluster_Changes,Stability_Score,Percent_Return
CGAM,7,68,10,10,9,0.0,10900.000218278381
CGAM,8,38,10,10,9,0.0,10900.000218278381
CGAM,9,10,10,10,9,0.0,10900.000218278381
EEENF,0,61,10,10,9,0.0,21194.00053769324
EEENF,1,3,10,10,9,0.0,21194.00053769324
EEENF,2,46,10,10,9,0.0,21194.00053769324
EEENF,3,50,10,10,9,0.0,21194.00053769324
EEENF,4,13,10,10,9,0.0,21194.00053769324
EEENF,5,42,10,10,9,0.0,21194.00053769324
EEENF,6,45,10,10,9,0.0,21194.00053769324
EEENF,7,68,10,10,9,0.0,21194.00053769324
EEENF,8,38,10,10,9,0.0,21194.00053769324
EEENF,9,35,10,10,9,0.0,21194.00053769324
GRXXF,0,61,10,10,9,0.0,63552.630654035805
GRXXF,1,3,10,10,9,0.0,63552.630654035805
GRXXF,2,46,10,10,9,0.0,63552.630654035805
GRXXF,3,50,10,10,9,0.0,63552.630654035805
GRXXF,4,13,10,10,9,0.0,63552.630654035805
GRXXF,5,42,10,10,9,0.0,63552.630654035805
GRXXF,6,55,10,10,9,0.0,63552.630654035805
GRXXF,7,8,10,10,9,0.0,63552.630654035805
GRXXF,8,1,10,10,9,0.0,63552.630654035805
GRXXF,9,6,10,10,9,0.0,63552.630654035805
HTHL,0,61,10,10,9,0.0,29900.000087311448
HTHL,1,3,10,10,9,0.0,29900.000087311448
HTHL,2,46,10,10,9,0.0,29900.000087311448
HTHL,3,50,10,10,9,0.0,29900.000087311448
HTHL,4,13,10,10,9,0.0,29900.000087311448
HTHL,5,42,10,10,9,0.0,29900.000087311448
HTHL,6,45,10,10,9,0.0,29900.000087311448
HTHL,7,68,10,10,9,0.0,29900.000087311448
HTHL,8,38,10,10,9,0.0,29900.000087311448
HTHL,9,35,10,10,9,0.0,29900.000087311448
INSD,0,61,10,10,9,0.0,9170.050949869621
INSD,1,3,10,10,9,0.0,9170.050949869621
INSD,2,46,10,10,9,0.0,9170.050949869621
INSD,3,50,10,10,9,0.0,9170.050949869621
INSD,4,13,10,10,9,0.0,9170.050949869621
INSD,5,42,10,10,9,0.0,9170.050949869621
INSD,6,45,10,10,9,0.0,9170.050949869621
INSD,7,68,10,10,9,0.0,9170.050949869621
INSD,8,38,10,10,9,0.0,9170.050949869621
INSD,9,35,10,10,9,0.0,9170.050949869621
IVBT,0,61,10,9,9,0.0,49899.99956538334
IVBT,1,3,10,9,9,0.0,49899.99956538334
IVBT,2,46,10,9,9,0.0,49899.99956538334
IVBT,3,50,10,9,9,0.0,49899.99956538334
IVBT,4,13,10,9,9,0.0,49899.99956538334
IVBT,5,10,10,9,9,0.0,49899.99956538334
IVBT,6,59,10,9,9,0.0,49899.99956538334
IVBT,7,0,10,9,9,0.0,49899.99956538334
IVBT,8,59,10,9,9,0.0,49899.99956538334
IVBT,9,18,10,9,9,0.0,49899.99956538334
LRCFF,0,61,10,10,9,0.0,121900.00445288615
LRCFF,1,3,10,10,9,0.0,121900.00445288615
LRCFF,2,46,10,10,9,0.0,121900.00445288615
LRCFF,3,50,10,10,9,0.0,121900.00445288615
LRCFF,4,13,10,10,9,0.0,121900.00445288615
LRCFF,5,42,10,10,9,0.0,121900.00445288615
LRCFF,6,45,10,10,9,0.0,121900.00445288615
LRCFF,7,67,10,10,9,0.0,121900.00445288615
LRCFF,8,17,10,10,9,0.0,121900.00445288615
LRCFF,9,10,10,10,9,0.0,121900.00445288615
MDAW,0,61,10,8,8,0.11111111111111116,7400.000254658443
MDAW,1,49,10,8,8,0.11111111111111116,7400.000254658443
MDAW,2,38,10,8,8,0.11111111111111116,7400.000254658443
MDAW,3,47,10,8,8,0.11111111111111116,7400.000254658443
MDAW,4,44,10,8,8,0.11111111111111116,7400.000254658443
MDAW,5,68,10,8,8,0.11111111111111116,7400.000254658443
MDAW,6,68,10,8,8,0.11111111111111116,7400.000254658443
MDAW,7,41,10,8,8,0.11111111111111116,7400.000254658443
MDAW,8,38,10,8,8,0.11111111111111116,7400.000254658443
MDAW,9,4,10,8,8,0.11111111111111116,7400.000254658443
MNIZ,0,61,10,8,8,0.11111111111111116,108299.9954830913
MNIZ,1,46,10,8,8,0.11111111111111116,108299.9954830913
MNIZ,2,53,10,8,8,0.11111111111111116,108299.9954830913
MNIZ,3,8,10,8,8,0.11111111111111116,108299.9954830913
MNIZ,4,64,10,8,8,0.11111111111111116,108299.9954830913
MNIZ,5,65,10,8,8,0.11111111111111116,108299.9954830913
MNIZ,6,15,10,8,8,0.11111111111111116,108299.9954830913
MNIZ,7,15,10,8,8,0.11111111111111116,108299.9954830913
MNIZ,8,14,10,8,8,0.11111111111111116,108299.9954830913
MNIZ,9,8,10,8,8,0.11111111111111116,108299.9954830913
MOOIF,0,61,10,10,9,0.0,14660.000724685338
MOOIF,1,3,10,10,9,0.0,14660.000724685338
MOOIF,2,46,10,10,9,0.0,14660.000724685338
MOOIF,3,50,10,10,9,0.0,14660.000724685338
MOOIF,4,13,10,10,9,0.0,14660.000724685338
MOOIF,5,42,10,10,9,0.0,14660.000724685338
MOOIF,6,45,10,10,9,0.0,14660.000724685338
MOOIF,7,26,10,10,9,0.0,14660.000724685338
MOOIF,8,48,10,10,9,0.0,14660.000724685338
MOOIF,9,19,10,10,9,0.0,14660.000724685338
MZPS,0,61,10,10,9,0.0,8900.000072759125
MZPS,1,3,10,10,9,0.0,8900.000072759125
MZPS,2,46,10,10,9,0.0,8900.000072759125
MZPS,3,50,10,10,9,0.0,8900.000072759125
MZPS,4,13,10,10,9,0.0,8900.000072759125
MZPS,5,42,10,10,9,0.0,8900.000072759125
MZPS,6,45,10,10,9,0.0,8900.000072759125
MZPS,7,68,10,10,9,0.0,8900.000072759125
MZPS,8,38,10,10,9,0.0,8900.000072759125
MZPS,9,35,10,10,9,0.0,8900.000072759125
NHLG,0,61,10,9,9,0.0,1415700.0409636418
NHLG,1,17,10,9,9,0.0,1415700.0409636418
NHLG,2,44,10,9,9,0.0,1415700.0409636418
NHLG,3,47,10,9,9,0.0,1415700.0409636418
NHLG,4,14,10,9,9,0.0,1415700.0409636418
NHLG,5,42,10,9,9,0.0,1415700.0409636418
NHLG,6,40,10,9,9,0.0,1415700.0409636418
NHLG,7,68,10,9,9,0.0,1415700.0409636418
NHLG,8,17,10,9,9,0.0,1415700.0409636418
NHLG,9,0,10,9,9,0.0,1415700.0409636418
OFSTF,0,61,10,10,9,0.0,17510.489582859158
OFSTF,1,3,10,10,9,0.0,17510.489582859158
OFSTF,2,9,10,10,9,0.0,17510.489582859158
OFSTF,3,50,10,10,9,0.0,17510.489582859158
OFSTF,4,13,10,10,9,0.0,17510.489582859158
OFSTF,5,42,10,10,9,0.0,17510.489582859158
OFSTF,6,29,10,10,9,0.0,17510.489582859158
OFSTF,7,67,10,10,9,0.0,17510.489582859158
OFSTF,8,37,10,10,9,0.0,17510.489582859158
OFSTF,9,58,10,10,9,0.0,17510.489582859158
OPORF,0,61,10,10,9,0.0,28915.543749421
OPORF,1,3,10,10,9,0.0,28915.543749421
OPORF,2,46,10,10,9,0.0,28915.543749421
OPORF,3,50,10,10,9,0.0,28915.543749421
OPORF,4,13,10,10,9,0.0,28915.543749421
OPORF,5,42,10,10,9,0.0,28915.543749421
OPORF,6,45,10,10,9,0.0,28915.543749421
OPORF,7,68,10,10,9,0.0,28915.543749421
OPORF,8,38,10,10,9,0.0,28915.543749421
OPORF,9,35,10,10,9,0.0,28915.543749421
PECN,0,61,10,9,9,0.0,99900.000291038
PECN,1,17,10,9,9,0.0,99900.000291038
PECN,2,14,10,9,9,0.0,99900.000291038
PECN,3,0,10,9,9,0.0,99900.000291038
PECN,4,17,10,9,9,0.0,99900.000291038
PECN,5,27,10,9,9,0.0,99900.000291038
PECN,6,21,10,9,9,0.0,99900.000291038
PECN,7,68,10,9,9,0.0,99900.000291038
PECN,8,43,10,9,9,0.0,99900.000291038
PECN,9,35,10,9,9,0.0,99900.000291038
PGAI,0,61,10,10,9,0.0,12799.99937834544
PGAI,1,3,10,10,9,0.0,12799.99937834544
PGAI,2,46,10,10,9,0.0,12799.99937834544
PGAI,3,50,10,10,9,0.0,12799.99937834544
PGAI,4,14,10,10,9,0.0,12799.99937834544
PGAI,5,42,10,10,9,0.0,12799.99937834544
PGAI,6,45,10,10,9,0.0,12799.99937834544
PGAI,7,68,10,10,9,0.0,12799.99937834544
PGAI,8,38,10,10,9,0.0,12799.99937834544
PGAI,9,69,10,10,9,0.0,12799.99937834544
PTZH,0,61,10,10,9,0.0,6249.999810010199
PTZH,1,3,10,10,9,0.0,6249.999810010199
PTZH,2,46,10,10,9,0.0,6249.999810010199
PTZH,3,50,10,10,9,0.0,6249.999810010199
PTZH,4,13,10,10,9,0.0,6249.999810010199
PTZH,5,42,10,10,9,0.0,6249.999810010199
PTZH,6,45,10,10,9,0.0,6249.999810010199
PTZH,7,68,10,10,9,0.0,6249.999810010199
PTZH,8,38,10,10,9,0.0,6249.999810010199
PTZH,9,35,10,10,9,0.0,6249.999810010199
