Block_ID,Cluster_ID,Security,Cluster_Size_x,Score,Median_Price_Level,Avg_Correlation,Cluster_Size_y,Post_Clustering_Return,Category,Rank
8,37,FPVTF,38,5,0.0025000000605359,0.0,38,139.9999910593036,100-500%,155
0,7,MFGHF,45,5,0.768524600834143,0.0,45,139.63963963963965,100-500%,156
6,44,AHNR,41,6,0.014462319754064,0.2243684851255113,41,136.36363913451356,100-500%,157
0,7,DTXMF,45,5,0.768524600834143,0.0,45,133.33333850734772,100-500%,158
9,73,DBMM,34,5,0.1417356016039848,0.0,34,129.75609489713898,100-500%,159
6,44,AMNI,41,6,0.014462319754064,0.2243684851255113,41,129.4009841424029,100-500%,160
9,47,INTI,44,6,1.0247675507068634,0.5283099874151118,44,128.2991274845692,100-500%,161
0,7,LQRCF,45,5,0.768524600834143,0.0,45,127.15909571964156,100-500%,162
2,8,MAOIF,38,6,1.3391199839115142,0.7093063400822887,38,124.15224786979184,100-500%,163
7,16,LPX,39,6,0.6767042407989502,0.5262639916100307,39,120.70850350883904,100-500%,164
6,44,PBHG,41,6,0.014462319754064,0.2243684851255113,41,118.74999145725864,100-500%,165
