Security,Block,Winner,Future_Return,Event_Type,Avg_MarketCap,Median_MarketCap,Min_MarketCap,Max_MarketCap
AACG,29,False,-64.406784,ACQ,42514727.637465835,43435610.788834095,16219631.40506744,84150003.34382057
AACS,1,True,67.85715,DROP,4660513.030763115,3179675.5304798074,2086881.4441521184,9854718.63555871
AACS,6,False,-74.46808,DROP,3210435.296955973,2898446.435214672,1043440.7220760592,7999712.247572932
AACS,7,False,-48.0,DROP,2230586.465125682,2202819.3771435884,1043440.7220760592,3478135.830233153
AACS,17,False,-30.000008,DROP,1172363.6420839964,1159378.6550675286,695627.1930405172,1623129.9821250956
AACS,30,False,-93.333336,DROP,1869208.1601218253,927502.8565693063,115937.85707116332,11361910.41475348
AACS,31,False,-66.66667,DROP,586645.5857141584,347813.5965202585,115937.85707116332,2318757.310135057
AACS,32,False,-50.0,DROP,504329.7023009907,463751.4282846532,115937.85707116332,1391254.3860810343
AACS,4,False,-80.0,ACQ,5948655.668445272,6620051.735772705,2202819.3771435884,9854718.63555871
AACS,5,False,-84.72222,ACQ,4500939.609279681,3420166.8637374183,1275316.453089565,8695339.305644015
AACS,15,False,-62.5,ACQ,1512003.6078498233,1495598.444791697,927502.8565693063,2318757.310135057
AACS,16,False,-45.454544,ACQ,1342792.3013421106,1368066.772488854,695627.1930405172,1739067.9151165765
AACS,28,False,-65.51724,ACQ,2865810.0034626187,1970943.6461300824,115937.85707116332,11361910.41475348
AACS,29,False,-94.44445,ACQ,2525996.1334207724,1391254.3860810343,115937.85707116332,11361910.41475348
AACTF,29,False,-74.89712,DROP,22841645.55903181,26041171.67322636,10141992.043179272,33716465.731304884
AACTF,28,False,-72.72727,ACQ,28046391.807829484,28371171.91043496,14396870.21453008,45014471.27114534
AAGC,6,False,-85.71429,DROP,253907.68791727713,115737.0054972125,38578.999025412486,694421.988071408
AAGC,16,False,-33.333336,DROP,99610.97963796272,115737.0054972125,77157.99805082497,154315.99610164994
AAGC,26,True,249.99997,DROP,1126854.013255797,540105.9807417876,154315.99610164994,5223596.493303776
AAGC,28,False,-80.0,DROP,1309988.5268925393,1041633.0270189792,308631.9922032999,5223596.493303776
AAGC,29,False,-91.0828,DROP,829371.3431954813,578685.0050301291,231474.01099442504,3028451.3856004924
AAGC,30,False,-57.894737,DROP,612403.0466134597,501527.0013653208,231474.01099442504,1504580.9591840955
AAGC,31,False,-80.0,DROP,557171.5642258764,414724.241628428,231474.01099442504,1427423.000431154
AAGC,3,False,-74.57627,ACQ,542767.9514498007,540105.9807417876,270052.9903708957,925896.0439777002
AAGC,4,False,-80.0,ACQ,497823.413964176,540105.9807417876,38578.999025412486,925896.0439777002
AAGC,5,False,-87.5,ACQ,375392.95770091546,424368.9977005124,38578.999025412486,925896.0439777002
AAGC,15,False,-45.454544,ACQ,112920.73409120567,115737.0054972125,77157.99805082497,308631.9922032999
AAGC,25,True,850.0,ACQ,892197.2467644729,337566.24919158634,77157.99805082497,5223596.493303776
AAGC,27,True,136.36363,ACQ,1249650.9689361246,733001.0123597459,154315.99610164994,5223596.493303776
AAGH,8,True,96.07842,DROP,106159233.48281887,106239113.01768395,42495644.26476038,174029793.39018834
AAGH,16,True,11.538456,DROP,348832586.36643934,364248376.7199084,182124188.3599542,505900552.53850496
AAGH,17,False,-29.72973,DROP,339794166.67707783,359594103.38154584,121416131.8553908,465428502.3046207
AAGH,19,False,-33.333336,DROP,287022671.45118004,303540320.21534497,103203714.90402175,394602433.241586
AAGH,29,False,-78.60962,DROP,2786764949.4581337,2810496158.149739,20438555.070779227,4519700739.814436
AAGH,31,False,-92.96875,DROP,1704069935.5899448,1513474967.8956292,4217871.033447613,4519700739.814436
AAGH,32,False,-94.41087,DROP,1006451176.207174,628462792.8835193,4217871.033447613,3259949437.4251714
AAGH,7,False,-65.0,ACQ,117950624.45696805,111298119.29691955,93085702.3455505,174029793.39018834
AAGH,14,False,-6.2500067,ACQ,305113675.5876361,303540320.21534497,161888182.0892757,505900552.53850496
AAGH,15,True,10.000002,ACQ,324057625.9155657,303540320.21534497,182124188.3599542,505900552.53850496
AAGH,18,False,-0.99999833,ACQ,309911633.92580587,305563937.80405015,103203714.90402175,404720426.9537933
AAGH,27,True,427.49005,ACQ,2864489792.084618,2840934654.0952063,404720426.9537933,12141613562.464355
AAGH,28,False,-46.153843,ACQ,2963183901.3973083,2852907246.087425,2049531491.6617212,4519700739.814436
AAGH,30,False,-90.647484,ACQ,2275621219.6037755,2496430890.332202,20438555.070779227,4519700739.814436
AAGIY,7,True,51.705814,DROP,83622507786.16568,85345260229.11072,67311998853.68348,96012887094.86484
AAGIY,15,True,8.991039,DROP,107462376599.5673,104534297083.71638,89738718125.0,129132455520.62988
AAGIY,20,False,-4.4031825,DROP,120457400128.53902,121224702850.67691,95196954573.15443,136730327204.84428
AAGIY,29,False,-29.503866,DROP,139351627317.7242,138471696055.4123,121565001116.75262,161724061383.24738
AAGIY,30,False,-12.827556,DROP,131786854537.27246,131476343191.62369,109904222447.39532,152598375000.0
AAGIY,31,False,-24.382915,DROP,126878120639.9107,126807739211.08246,108670020406.723,142082686383.24738
AAGIY,6,True,17.26672,ACQ,78960881592.53915,77026948854.44643,67311998853.68348,96012887094.86484
AAGIY,14,True,6.1875677,ACQ,103837590648.47879,103861190298.22827,89738718125.0,121142700920.10497
AAGIY,19,False,-4.3376007,ACQ,124572577839.58714,124278081998.52887,111102745399.47508,136730327204.84428
AAGIY,27,False,-11.853637,ACQ,150566925847.44452,150770217633.24738,129633079610.82458,168146479610.4431
AAGIY,28,False,-17.623528,ACQ,145344761395.49255,147310312500.0,123891750000.0,161724061383.24738
AAIGF,7,True,45.61102,DROP,83246437305.67201,85105020458.22144,65989797248.84033,95439764258.91876
AAIGF,15,True,10.489507,DROP,106814465994.21385,104308062719.86485,88803627210.94608,127233002300.26244
AAIGF,20,False,-6.540083,DROP,119816820039.60863,120961802530.2887,89852880691.05148,139713184263.6569
AAIGF,29,False,-30.757803,DROP,139420236495.23257,138758760230.54123,120870000000.0,162677560461.0443
AAIGF,30,False,-14.238413,DROP,131733191365.2706,130781336311.34036,109508225071.90706,153263163688.65964
AAIGF,31,False,-23.690983,DROP,126769259346.4422,126550893227.5772,109024745532.98952,144802254467.0105
AAIGF,6,True,14.61318,ACQ,78746429288.9007,76387100229.2633,65989797248.84033,94836482210.94608
AAIGF,14,True,6.4116945,ACQ,103273611500.29976,103403131017.83752,88803627210.94608,121323605060.5774
AAIGF,19,False,-4.439747,ACQ,124110000242.51,124218002300.26244,110228404140.4724,139713184263.6569
AAIGF,27,False,-13.601362,ACQ,150812122762.80402,150839514467.23938,130660475071.90704,170412604610.44315
AAIGF,28,False,-18.559998,ACQ,145513758594.5034,147334429928.30276,123287397694.5877,162677560461.0443
AAIRF,30,False,-67.33333,DROP,60388205.90714142,73285036.64129375,6174600.092008709,121558926.19723082
AAIRF,29,False,-64.97696,ACQ,80460730.03827424,90594385.83221436,6174600.092008709,157818982.3330879
AAL,30,False,-34.01039,DROP,12579768195.414352,12663430556.070328,8330155538.993836,16052621085.056309
AAL,32,False,-25.953753,DROP,10743303201.345224,10685175574.52774,7897956380.893706,13369973340.22522
AAL,29,False,-29.626486,ACQ,13351243540.645054,13393618915.946007,10146700462.73613,16385604186.3327
AAL,31,False,-36.572,ACQ,11755680941.545654,11632373959.2762,7897956380.893706,16052621085.056309
AAMAF,13,False,-39.236115,DROP,394774012.0413482,401028257.805109,274990791.4143801,471412818.73226166
AAMAF,31,False,-73.23943,DROP,21456713.097746078,16257159.795999529,11807831.704199314,64344125.79679488
AAMAF,36,False,-99.98947,DROP,10567749.964284636,16257159.795999529,1670.5499577983574,16257159.795999529
AAMAF,12,False,-28.521734,ACQ,419263415.3862536,410849348.4389782,335554242.194891,477960212.4881744
AAMAF,30,False,-83.33333,ACQ,41592061.42222613,16257159.795999529,11807831.704199314,195085917.55199432
AAMAF,35,False,-99.98947,ACQ,14631614.944395252,16257159.795999529,1711.279956769431,16257159.795999529
AAME,3,False,-9.817353,DROP,79677405.8052057,80235863.86293171,66261240.195035934,99989401.9460678
AAME,10,False,-25.352108,DROP,68774151.37029648,68380198.05335999,56133000.0,78586198.05335997
AAME,29,False,-34.81153,DROP,79788775.9974016,84426567.39020348,50634923.36461544,102075000.0
AAME,30,False,-33.73786,DROP,73455221.37367463,75485195.80411911,49302426.63538455,98717764.57214355
AAME,32,False,-16.987179,DROP,61299125.84078765,61001980.19456864,49302426.63538455,79199122.28250505
AAME,37,False,-23.55212,DROP,45952528.6243993,45303540.58384895,37682860.41545868,54438631.55555725
AAME,2,False,-12.765956,ACQ,81851354.52946365,83861398.04935455,66261240.195035934,101928230.32474518
AAME,9,False,-30.263155,ACQ,71260182.04236507,71442000.0,63277198.05335999,78663198.05145262
AAME,28,False,-29.014084,ACQ,86151593.83561303,85379669.07906532,71044200.38938522,125061985.8151436
AAME,31,False,-36.971046,ACQ,67162836.66471457,63803036.893606186,49302426.63538455,92008514.66941832
AAME,36,False,-35.335686,ACQ,50149204.00890409,49997150.97308159,38569229.70807552,62798118.44444275
AAMMF,28,True,25.66666,DROP,12597196.297904102,12574416.548497971,8448150.335699314,16047083.862066263
AAMMF,32,True,19.714397,DROP,13876305.709512308,13934550.252780316,9688954.532146454,16137500.0
AAMMF,27,True,54.556274,ACQ,11372605.805502085,11531506.678700443,7781085.1447284175,15206834.219992155
AAMMF,31,True,7.625482,ACQ,14110599.302436931,14200999.923050404,9688954.532146454,16137500.0
AAMTF,1,False,-69.00001,DROP,790398.5756020886,718694.6211056784,202105.63742974773,1742290.025962144
AAMTF,8,True,1287.4545,DROP,4325321.69556531,5286870.210081338,574955.6968845427,7049160.1050406685
AAMTF,10,True,28.571426,DROP,6547125.917049362,6168014.894959331,4229495.905463396,11454884.57983732
AAMTF,12,True,4.1967144,DROP,7024267.643350973,6194449.429830908,4581953.831934928,11454884.57983732
AAMTF,14,False,-17.142859,DROP,6504331.4425474405,6168014.894959331,5253386.395883559,8125919.402602315
AAMTF,15,False,-51.111107,DROP,6537958.718754933,6877425.43850541,5253386.395883559,7930304.78991866
AAMTF,16,False,-37.142857,DROP,6589871.545601203,6877425.43850541,5253386.395883559,7359950.935801864
AAMTF,26,True,12.820517,DROP,6877425.43850541,6877425.43850541,6877425.43850541,6877425.43850541
AAMTF,32,True,36.78948,DROP,6877425.43850541,6877425.43850541,6877425.43850541,6877425.43850541
AAMTF,37,True,33.762978,DROP,6877425.43850541,6877425.43850541,6877425.43850541,6877425.43850541
AAMTF,7,True,332.6241,ACQ,3206446.685239983,2003633.5363470009,365880.8950671926,7049160.1050406685
AAMTF,9,True,204.34781,ACQ,5858037.97360725,5374984.626048802,1132488.4584605694,11454884.57983732
AAMTF,11,True,16.356382,ACQ,6672717.273515449,6168014.894959331,4576667.13504195,11454884.57983732
AAMTF,13,False,-26.069105,ACQ,6621011.61321889,6168014.894959331,4846297.6050406685,8987678.831934929
AAMTF,25,False,-24.0,ACQ,6877425.43850541,6877425.43850541,6877425.43850541,6877425.43850541
AAMTF,31,False,0.0,ACQ,6877425.43850541,6877425.43850541,6877425.43850541,6877425.43850541
AAMTF,36,True,45.454544,ACQ,6877425.43850541,6877425.43850541,6877425.43850541,6877425.43850541
