Security,Block,Prev_Quality,New_Quality,Quality_Loss,Future_Return,Event_Type,Quality_Jump
CALRF,28,318.71957,295.0033,23.716278,,DROP,
BWIN,28,398.645,115.155136,283.48987,,DROP,
ABILF,28,-47.96258,1251.8187,,,ACQ,1299.7812
IFLXF,28,387.01468,221.46436,165.55032,,DROP,
AHEXY,28,151.8551,209.34744,,,ACQ,57.49234
EGKLF,28,308.34302,221.46436,86.87866,,DROP,
SUND,28,275.5606,295.0033,,,ACQ,19.442688
SGLFF,28,39.27808,611.64197,,,ACQ,572.3639
ABPR,28,400.56613,4272.2896,,,ACQ,3871.7234
ILPT,28,101.551926,55.000515,46.55141,,DROP,
IIIV,28,1121.4342,14.630919,1106.8033,,DROP,
PZAKY,28,689.69916,90.69762,599.0015,,DROP,
CRDAX,28,96.74505,105.99439,,,ACQ,9.249344
PXCLF,28,135.82365,95.887535,39.93612,,DROP,
PWP,28,17156.352,351.5877,16804.764,,DROP,
ELVA,28,313.54816,146.15318,167.39497,,DROP,
FENG,28,17156.352,11.932506,17144.42,,DROP,
CPYCF,28,298.1547,22.296133,275.85855,,DROP,
CMSQY,28,101.551926,42.803432,58.748493,,DROP,
ENSV,28,196.9769,-29.539408,226.51631,,DROP,
FTS,28,30.260561,204.19456,,,ACQ,173.934
XBIO,28,43903.938,233.70277,43670.234,,DROP,
IDT,28,275.5606,182.57422,92.98639,,DROP,
HVT,28,398.645,146.15318,252.4918,,DROP,
FXNC,28,6.8151417,233.70277,,,ACQ,226.88763
WZZZY,28,387.01468,209.34744,177.66724,,DROP,
THRR,28,275.5606,438.22504,,,ACQ,162.66443
EML,28,23.674898,89.56435,,,ACQ,65.88945
WING,28,72.00763,104.74376,,,ACQ,32.73613
GEECF,28,110.959625,5685.27,,,ACQ,5574.3105
FFDF,28,49.022373,89.56435,,,ACQ,40.541973
WAXS,28,12.802216,735.1686,,,ACQ,722.36633
VRED,28,-31.672441,2024.7155,,,ACQ,2056.388
QPRC,28,-24.913803,3669.4253,,,ACQ,3694.339
