Block_ID,Cluster_ID,Security,Cluster_Size_x,Score,Median_Price_Level,Avg_Correlation,Cluster_Size_y,Post_Clustering_Return
0,42,LLDTF,98,0,21.93265267368787,0.540810467715868,98,-19.790299140090884
0,42,LTEC,98,0,21.93265267368787,0.540810467715868,98,-98.49999989522638
0,42,LYG,98,0,21.93265267368787,0.540810467715868,98,-19.14126347031772
0,42,LYV,98,0,21.93265267368787,0.540810467715868,98,41.2050066906476
0,42,MDXG,98,0,21.93265267368787,0.540810467715868,98,18.48556519753969
0,42,MTB,98,0,21.93265267368787,0.540810467715868,98,-2.32680161344292
0,42,NDSN,98,0,21.93265267368787,0.540810467715868,98,58.69828792830301
0,42,NINOY,98,0,21.93265267368787,0.540810467715868,98,-12.923077013365614
0,42,NPSCY,98,0,21.93265267368787,0.540810467715868,98,26.20564220472385
0,42,NUVM,98,0,21.93265267368787,0.540810467715868,98,133.65383963849237
0,42,OLYMY,98,0,21.93265267368787,0.540810467715868,98,60.71589209147216
0,42,ORGS,98,0,21.93265267368787,0.540810467715868,98,36.256323855147215
0,42,ORPB,98,0,21.93265267368787,0.540810467715868,98,18.14515957821383
0,42,PAZRF,98,0,21.93265267368787,0.540810467715868,98,4.81079677406856
0,42,PBIO,98,0,21.93265267368787,0.540810467715868,98,10.164957488202973
0,42,PFG,98,0,21.93265267368787,0.540810467715868,98,18.4991322195884
0,42,PGR,98,0,21.93265267368787,0.540810467715868,98,30.06249870903912
0,42,PTTTS,98,0,21.93265267368787,0.540810467715868,98,-39.354838709677416
0,42,PWCDF,98,0,21.93265267368787,0.540810467715868,98,41.91139097136639
0,42,QUBT,98,0,21.93265267368787,0.540810467715868,98,79.62748980115131
0,42,RF,98,0,21.93265267368787,0.540810467715868,98,34.99813779360499
0,42,RFII,98,0,21.93265267368787,0.540810467715868,98,-41.08108124435256
0,42,RNST,98,0,21.93265267368787,0.540810467715868,98,4.5388627318014745
0,42,SGMA,98,0,21.93265267368787,0.540810467715868,98,118.55645308394318
0,42,SNMRY,98,0,21.93265267368787,0.540810467715868,98,9.863232611476356
0,18,ABBV,185,1,13.746724136944476,0.0,185,41.72991788990662
0,18,ACB,185,1,13.746724136944476,0.0,185,-84.15583524248392
0,18,ACOPF,185,1,13.746724136944476,0.0,185,-46.844514890912
0,18,AECX,185,1,13.746724136944476,0.0,185,3540.0000042574766
0,18,AES,185,1,13.746724136944476,0.0,185,39.53405152011876
0,18,AGI,185,1,13.746724136944476,0.0,185,43.64640470719179
0,18,AGMJF,185,1,13.746724136944476,0.0,185,31.88410127134698
0,18,AGNY,185,1,13.746724136944476,0.0,185,309.83605596270195
0,18,AIPG,185,1,13.746724136944476,0.0,185,-94.09055154411088
0,18,ALB,185,1,13.746724136944476,0.0,185,230.1356480007329
0,18,ALLY,185,1,13.746724136944476,0.0,185,71.17596982270207
0,18,ALRS,185,1,13.746724136944476,0.0,185,41.51401876289155
0,18,ALSN,185,1,13.746724136944476,0.0,185,-22.16888471378055
0,18,APPZ,185,1,13.746724136944476,0.0,185,0.0
0,18,AQPW,185,1,13.746724136944476,0.0,185,-49.472914187178006
0,18,ARC,185,1,13.746724136944476,0.0,185,118.02326147542774
0,18,ASTVF,185,1,13.746724136944476,0.0,185,29.743585831079702
0,18,ATBPF,185,1,13.746724136944476,0.0,185,-72.54117660604959
0,18,ATOR,185,1,13.746724136944476,0.0,185,-54.54545553065526
0,18,AUB,185,1,13.746724136944476,0.0,185,0.1704584259059087
0,18,BAC,185,1,13.746724136944476,0.0,185,39.77714271900059
0,18,BBUCQ,185,1,13.746724136944476,0.0,185,39.16501744956944
0,18,BCDRF,185,1,13.746724136944476,0.0,185,-15.585008531691212
0,18,BCKIY,185,1,13.746724136944476,0.0,185,-31.8518548844862
0,18,BCOMF,185,1,13.746724136944476,0.0,185,82.16303437692838
0,18,BCPC,185,1,13.746724136944476,0.0,185,47.98143138727304
0,18,BDRAF,185,1,13.746724136944476,0.0,185,35.212355212355206
0,18,BDRBF,185,1,13.746724136944476,0.0,185,35.749185667752435
0,18,BEUT,185,1,13.746724136944476,0.0,185,-97.65624982947
0,18,BEVFF,185,1,13.746724136944476,0.0,185,4.050876662224231
0,18,BHOOY,185,1,13.746724136944476,0.0,185,-6.903786437449699
0,18,BIRMF,185,1,13.746724136944476,0.0,185,122.5549673795613
0,18,BKNIY,185,1,13.746724136944476,0.0,185,-14.052475373984391
0,18,BLGVF,185,1,13.746724136944476,0.0,185,6.372776659291141
0,18,BMSPF,185,1,13.746724136944476,0.0,185,-31.079692169406734
0,18,BVHMF,185,1,13.746724136944476,0.0,185,34.4017376387412
0,18,CATI,185,1,13.746724136944476,0.0,185,5.338961748583091
0,18,CATPF,185,1,13.746724136944476,0.0,185,217.24138498022808
0,18,CAULF,185,1,13.746724136944476,0.0,185,76.9230736166062
0,18,CBU,185,1,13.746724136944476,0.0,185,5.747177698521052
0,18,CCNE,185,1,13.746724136944476,0.0,185,-19.90422509002681
0,18,CHMN,185,1,13.746724136944476,0.0,185,100.00000000000004
0,18,CISXF,185,1,13.746724136944476,0.0,185,-20.64516005977508
0,18,CMCO,185,1,13.746724136944476,0.0,185,31.70299165208582
0,18,CNGO,185,1,13.746724136944476,0.0,185,76.49418290420552
0,18,CNXS,185,1,13.746724136944476,0.0,185,-72.0
0,18,COBJF,185,1,13.746724136944476,0.0,185,-16.333338962660683
0,18,COMCF,185,1,13.746724136944476,0.0,185,281.8604359022674
0,18,CRLI,185,1,13.746724136944476,0.0,185,36.13445630695505
0,18,CRPLF,185,1,13.746724136944476,0.0,185,-83.33333374725446
0,18,CSWYF,185,1,13.746724136944476,0.0,185,0.0
0,18,CSX,185,1,13.746724136944476,0.0,185,31.523947599041783
0,18,CTBI,185,1,13.746724136944476,0.0,185,-0.7059089957178228
0,18,CUBT,185,1,13.746724136944476,0.0,185,111160.00193685987
0,18,CWLPF,185,1,13.746724136944476,0.0,185,75.05263372537505
0,18,CWNOF,185,1,13.746724136944476,0.0,185,319.66667715957004
0,18,DAHSF,185,1,13.746724136944476,0.0,185,-30.188680857939783
0,18,DECK,185,1,13.746724136944476,0.0,185,138.79186158384235
0,18,DFS,185,1,13.746724136944476,0.0,185,58.831751263212354
0,18,DLB,185,1,13.746724136944476,0.0,185,38.98914507772268
0,18,DLII,185,1,13.746724136944476,0.0,185,-8.333338183971277
0,18,DMTRF,185,1,13.746724136944476,0.0,185,-58.12206574451585
0,18,DNSKF,185,1,13.746724136944476,0.0,185,21.38047005712343
0,18,EBTC,185,1,13.746724136944476,0.0,185,20.202391208237565
0,18,EHTH,185,1,13.746724136944476,0.0,185,-32.20341756207414
0,18,ENAKF,185,1,13.746724136944476,0.0,185,29.301850656948453
0,18,ENGGF,185,1,13.746724136944476,0.0,185,-4.544566426628788
0,18,ENGT,185,1,13.746724136944476,0.0,185,-94.31818177007632
0,18,ENPRF,185,1,13.746724136944476,0.0,185,90.78477933248
0,18,EONGY,185,1,13.746724136944476,0.0,185,29.02172889976113
0,18,ESGR,185,1,13.746724136944476,0.0,185,23.10337687354091
0,18,EXMGF,185,1,13.746724136944476,0.0,185,-50.87696852808388
0,18,FBNC,185,1,13.746724136944476,0.0,185,19.48125141141492
0,18,FFIV,185,1,13.746724136944476,0.0,185,43.05016606477457
0,18,FISI,185,1,13.746724136944476,0.0,185,2.204146299921625
0,18,FNLC,185,1,13.746724136944476,0.0,185,5.671353905468223
0,18,GBCI,185,1,13.746724136944476,0.0,185,31.85826009985628
0,18,GCHEF,185,1,13.746724136944476,0.0,185,2.3039397022103025
0,18,GEF-B,185,1,13.746724136944476,0.0,185,41.78051764609017
0,18,GIGM,185,1,13.746724136944476,0.0,185,0.2853645819963964
0,18,GLBR,185,1,13.746724136944476,0.0,185,-35.265590669108285
0,18,GLHD,185,1,13.746724136944476,0.0,185,-91.39495729863006
0,18,GRC,185,1,13.746724136944476,0.0,185,2.5627446689207174
0,18,GVDI,185,1,13.746724136944476,0.0,185,204.2857138105704
0,18,GWW,185,1,13.746724136944476,0.0,185,28.903842055567385
0,18,HBNC,185,1,13.746724136944476,0.0,185,3.2761147284444063
0,18,HI,185,1,13.746724136944476,0.0,185,41.61428441590356
0,18,HOV,185,1,13.746724136944476,0.0,185,241.1954275382301
0,18,HSTO,185,1,13.746724136944476,0.0,185,-78.94886366345666
0,18,IDAM,185,1,13.746724136944476,0.0,185,-80.00000000000007
0,18,IIIN,185,1,13.746724136944476,0.0,185,97.48104191958376
0,18,ITRI,185,1,13.746724136944476,0.0,185,-2.24956049164866
0,18,IVPAF,185,1,13.746724136944476,0.0,185,159.04346680155882
0,18,KAIFF,185,1,13.746724136944476,0.0,185,178.6302285856188
0,18,KBLB,185,1,13.746724136944476,0.0,185,-59.803922048432256
0,18,KDSKF,185,1,13.746724136944476,0.0,185,69.12976595925649
0,18,KGHZF,185,1,13.746724136944476,0.0,185,-60.54545468160384
0,18,KIQSF,185,1,13.746724136944476,0.0,185,-21.6389251818764
0,18,KNCAY,185,1,13.746724136944476,0.0,185,-25.45706163216792
0,18,KODK,185,1,13.746724136944476,0.0,185,165.750770267768
0,18,KPCPF,185,1,13.746724136944476,0.0,185,-34.79175495777253
0,18,KTEL,185,1,13.746724136944476,0.0,185,477.6973881890845
0,18,LBLTF,185,1,13.746724136944476,0.0,185,7.77023128917844
0,18,LEE,185,1,13.746724136944476,0.0,185,24.04056834346489
0,18,LGMH,185,1,13.746724136944476,0.0,185,150.0000018626454
0,18,LMNR,185,1,13.746724136944476,0.0,185,-15.943181674466894
0,18,LMSQF,185,1,13.746724136944476,0.0,185,25.718413846401216
0,18,LUNMF,185,1,13.746724136944476,0.0,185,40.49634601740661
0,18,MAHLY,185,1,13.746724136944476,0.0,185,-14.621563900419002
0,18,MARZF,185,1,13.746724136944476,0.0,185,-29.894501343034968
0,18,MCCRF,185,1,13.746724136944476,0.0,185,34.39634981697301
0,18,MCPH,185,1,13.746724136944476,0.0,185,-34.39037780269184
0,18,MDLM,185,1,13.746724136944476,0.0,185,-99.79877135112405
0,18,MEDD,185,1,13.746724136944476,0.0,185,-11.111105362208129
0,18,MEQYF,185,1,13.746724136944476,0.0,185,88.95966641888685
0,18,MET,185,1,13.746724136944476,0.0,185,36.60951202769159
0,18,MFC,185,1,13.746724136944476,0.0,185,4.462420225632183
0,18,MGRC,185,1,13.746724136944476,0.0,185,7.663884247338276
0,18,MSFT,185,1,13.746724136944476,0.0,185,106.64953789591188
0,18,NAFS,185,1,13.746724136944476,0.0,185,-66.73259185967866
0,18,NBCO,185,1,13.746724136944476,0.0,185,-63.56950014829636
0,18,NBHC,185,1,13.746724136944476,0.0,185,16.682323500832776
0,18,NMNZF,185,1,13.746724136944476,0.0,185,15.749998155981364
0,18,NTCPF,185,1,13.746724136944476,0.0,185,299.999995860789
0,18,OCINF,185,1,13.746724136944476,0.0,185,4.201680806959162
0,18,ONB,185,1,13.746724136944476,0.0,185,-3.400595417408038
0,18,OSPN,185,1,13.746724136944476,0.0,185,23.662631437666995
0,18,PCAR,185,1,13.746724136944476,0.0,185,9.081139671034627
0,18,PDNLA,185,1,13.746724136944476,0.0,185,16.27906956596597
0,18,PEBO,185,1,13.746724136944476,0.0,185,-0.5522966140582665
