Security,Block_ID,Cluster_ID,Cluster_Size,Num_Top_Performers_During,Pct_Top_Performers_During,Num_Top_Performers_After,Pct_Top_Performers_After,Stock_Return_During,Stock_Return_After
AAGC,0,52,105,20,19.047619047619047,15,14.285714285714285,-79.13043437989107,1376.1904851003037
AAGC,1,35,86,11,12.790697674418606,10,11.627906976744185,-79.13043437989107,1376.1904851003037
AAGC,2,53,93,10,10.75268817204301,14,15.053763440860216,-79.13043437989107,1376.1904851003037
AAGC,3,61,117,12,10.256410256410255,15,12.82051282051282,-79.13043437989107,1376.1904851003037
AAGC,4,19,121,5,4.132231404958678,11,9.090909090909092,-79.13043437989107,1376.1904851003037
AAGC,5,44,138,5,3.6231884057971016,17,12.318840579710146,-79.13043437989107,1376.1904851003037
AAGC,6,19,115,13,11.304347826086957,10,8.695652173913043,-79.13043437989107,1376.1904851003037
AAGC,7,54,202,19,9.405940594059405,25,12.376237623762377,-79.13043437989107,1376.1904851003037
AAGC,8,64,95,6,6.315789473684211,10,10.526315789473683,-79.13043437989107,1376.1904851003037
AAGC,9,31,104,6,5.769230769230769,16,15.384615384615385,-79.13043437989107,1376.1904851003037
AAGFF,0,13,258,14,5.426356589147287,36,13.953488372093023,-8.03108734282404,86.48332152444657
AAGFF,1,22,104,29,27.884615384615387,3,2.8846153846153846,-8.03108734282404,86.48332152444657
AAGFF,2,41,89,7,7.865168539325842,8,8.98876404494382,-8.03108734282404,86.48332152444657
AAGFF,3,46,104,14,13.461538461538462,12,11.538461538461538,-8.03108734282404,86.48332152444657
AAGFF,4,17,102,3,2.941176470588235,7,6.862745098039216,-8.03108734282404,86.48332152444657
AAGFF,5,38,61,11,18.0327868852459,20,32.78688524590164,-8.03108734282404,86.48332152444657
AAGFF,6,1,146,12,8.21917808219178,8,5.47945205479452,-8.03108734282404,86.48332152444657
AAGFF,7,20,409,41,10.024449877750612,12,2.93398533007335,-8.03108734282404,86.48332152444657
AAGFF,8,48,127,5,3.937007874015748,6,4.724409448818897,-8.03108734282404,86.48332152444657
AAGFF,9,55,391,55,14.066496163682865,17,4.3478260869565215,-8.03108734282404,86.48332152444657
AAGH,0,46,180,16,8.88888888888889,12,6.666666666666667,139.62318284544412,772.7056374058545
AAGH,1,40,202,6,2.9702970297029703,5,2.4752475247524752,139.62318284544412,772.7056374058545
AAGH,2,43,164,10,6.097560975609756,24,14.634146341463413,139.62318284544412,772.7056374058545
AAGH,3,23,65,3,4.615384615384616,3,4.615384615384616,139.62318284544412,772.7056374058545
AAGH,4,34,132,12,9.090909090909092,13,9.848484848484848,139.62318284544412,772.7056374058545
AAGH,5,29,104,9,8.653846153846153,19,18.269230769230766,139.62318284544412,772.7056374058545
AAGH,6,25,277,27,9.747292418772563,23,8.303249097472925,139.62318284544412,772.7056374058545
AAGH,7,69,135,10,7.4074074074074066,31,22.962962962962962,139.62318284544412,772.7056374058545
AAGH,8,45,217,6,2.7649769585253456,24,11.059907834101383,139.62318284544412,772.7056374058545
AAGH,9,33,96,6,6.25,11,11.458333333333332,139.62318284544412,772.7056374058545
AAGIY,0,32,286,28,9.79020979020979,6,2.097902097902098,69.71837469611076,17.903351618244333
AAGIY,1,46,829,22,2.6537997587454765,29,3.4981905910735827,69.71837469611076,17.903351618244333
AAGIY,2,19,624,27,4.326923076923077,10,1.6025641025641024,69.71837469611076,17.903351618244333
AAGIY,3,17,461,53,11.496746203904555,11,2.386117136659436,69.71837469611076,17.903351618244333
AAGIY,4,61,118,10,8.47457627118644,4,3.389830508474576,69.71837469611076,17.903351618244333
AAGIY,5,12,321,28,8.722741433021806,11,3.4267912772585665,69.71837469611076,17.903351618244333
AAGIY,6,12,98,11,11.224489795918368,5,5.1020408163265305,69.71837469611076,17.903351618244333
AAGIY,7,4,152,7,4.605263157894736,10,6.578947368421052,69.71837469611076,17.903351618244333
