Security,Block_ID,Cluster_ID,Forward_Periods,Start_Price_Avg,End_Price_Avg,Percent_Return,Initial_Prices_Count,End_Prices_Count
AZIL,0,34,500,0.2603999972343444,0.2199999988079071,-15.51459249443837,10,10
AZPN,0,34,500,116.15499954223633,127.77100067138672,10.000431470818073,10,10
B,0,34,500,54.553999710083005,43.14500007629395,-20.91322303482796,10,10
BASFY,0,34,500,18.93400020599365,18.73099994659424,-1.07214670534942,10,10
BAYP,0,34,500,1.0,0.08352000005543227,-91.64799999445677,10,10
BAYRY,0,34,500,18.319000244140625,13.692000007629394,-25.257929880705078,10,10
BAYZF,0,34,500,73.43200073242187,54.521999740600585,-25.751716967003592,10,10
BFFAF,0,34,500,75.62299957275391,74.7239990234375,-1.1887925028040165,10,10
BKNG,0,34,500,2034.6740112304688,2440.0260498046873,19.922210454198606,10,10
BKU,0,34,500,34.17800025939941,42.74099998474121,25.05412739291807,10,10
BNMDF,0,34,500,8.260000038146973,10.199999809265137,23.486679929282154,10,10
BOIVF,0,34,500,4.269999980926514,5.834000015258789,36.62763562806657,10,10
BWA,0,34,500,34.587147903442386,39.30017585754395,13.626529620941902,10,10
CACC,0,34,500,451.6050048828125,601.6470031738281,33.22416639956197,10,10
CBZ,0,34,500,24.936000061035156,33.36600036621094,33.80654589566052,10,10
CCS,0,34,500,33.067000007629396,62.85800056457519,90.09284346953838,10,10
CDXC,0,34,500,3.2760000228881836,6.234000110626221,90.29304234040293,10,10
CGNX,0,34,500,51.8520004272461,81.04100036621094,56.292910010135735,10,10
CHDN,0,34,500,65.83399887084961,121.93099899291992,85.20977167454018,10,10
CHDRY,0,34,500,124.75,182.543994140625,46.327851014529045,10,10
CHE,0,34,500,411.7619995117187,448.0530029296875,8.813587329817683,10,10
CHT,0,34,500,36.611999893188475,39.67500038146973,8.3661108303759,10,10
CLCS,0,34,500,0.699999988079071,1.3029749870300293,86.13928703136592,10,10
CLFD,0,34,500,12.244999980926513,46.77800064086914,282.0171556858565,10,10
CLOQ,0,34,500,0.11075999885797497,0.18621999621391291,68.12928686709232,10,10
CMILF,0,34,500,0.0270000007003545,0.0814199991524219,201.55554459431139,10,10
COCP,0,34,500,14.064000034332276,12.09600009918213,-13.99317356616874,10,10
CODGF,0,34,500,41.704000854492186,68.28199996948243,63.73009440442539,10,10
CPAY,0,34,500,294.62099609375,264.05800476074216,-10.373663702936685,10,10
CPTP,0,34,500,15.255000019073487,11.845000171661377,-22.35332574990856,10,10
CPXGF,0,34,500,17.661999893188476,10.895000171661376,-38.31389289123968,10,10
CRARF,0,34,500,12.859999847412109,14.347999954223633,11.570763020739564,10,10
CRARY,0,34,500,6.501999998092652,7.059999942779541,8.581973928800021,10,10
CRESY,0,34,500,4.950097942352295,4.889432668685913,-1.2255368352884335,10,10
CRM,0,34,500,147.77299957275392,273.38999633789064,85.00673135709815,10,10
CSIQ,0,34,500,18.03200035095215,33.155999946594235,83.87311058832965,10,10
CSNVY,0,34,500,29.605000305175782,52.36000061035156,76.86201678977037,10,10
CTXR,0,34,500,0.572599995136261,2.043999981880188,256.96821502657883,10,10
CW,0,34,500,127.4900001525879,129.19299926757813,1.3357903466561927,10,10
CYRX,0,34,500,14.603000068664551,66.15899963378907,353.05073835995216,10,10
CYTO,0,34,500,718.3599975585937,786.0,9.415892125297411,10,10
DAC,0,34,500,12.091999816894532,77.41999969482421,540.2580290040661,10,10
DANOY,0,34,500,16.530000114440917,13.49000005722046,-18.390804816538726,10,10
DASTF,0,34,500,148.25409545898438,52.88190040588379,-64.33022626311597,10,10
DASTY,0,34,500,30.06599998474121,52.27499961853027,73.86749033812396,10,10
DB,0,34,500,7.953999996185303,12.803999996185302,60.97560978534114,10,10
DK,0,34,500,38.24800033569336,18.286999893188476,-52.18835041652389,10,10
DNPLY,0,34,500,6.506000089645386,6.133499956130981,-5.725486141742551,10,10
DSKYF,0,34,500,20.666667938232425,26.630999946594237,28.85966923254261,10,10
DSNKY,0,34,500,20.99599952697754,26.667000389099123,27.009911363519397,10,10
EADSF,0,34,500,135.7979995727539,133.6270004272461,-1.5986974420375701,10,10
EADSY,0,34,500,33.91199951171875,33.363999938964845,-1.6159459207485933,10,10
ECL,0,34,500,192.03300018310546,214.0969985961914,11.489691038544263,10,10
EFR,0,34,500,12.958999919891358,14.824999904632568,14.399259173364154,10,10
EFT,0,34,500,13.25,14.836999988555908,11.977358404195531,10,10
EHGRF,0,34,500,2.8499999046325684,2.400000095367432,-15.789467520110383,10,10
ELRRF,0,34,500,0.21100000441074368,2.759999990463257,1208.0568401745131,10,10
EMNSF,0,34,500,1.872000014781952,2.0449999451637266,9.241449199557055,10,10
ENS,0,34,500,66.9479995727539,75.77099990844727,13.17888569038603,10,10
ERDCF,0,34,500,0.14700000435113902,0.3129999995231628,112.92516344115167,10,10
ESE,0,34,500,83.34800033569336,77.96600112915038,-6.457262543631965,10,10
ESI,0,34,500,10.472999954223633,22.53099994659424,115.13415492289542,10,10
ET,0,34,500,12.571000003814698,9.698999977111816,-22.846233599804048,10,10
EUXTF,0,34,500,79.31999969482422,117.1349998474121,47.673979195760616,10,10
EVF,0,34,500,6.206999969482422,7.052000093460083,13.613664058840364,10,10
FANUF,0,34,500,38.741400146484374,43.02179946899414,11.048643844376375,10,10
FANUY,0,34,500,19.345999908447265,21.269999694824218,9.945207254636939,10,10
FBSI,0,34,500,14.800000190734863,15.800000190734863,6.756756669679118,10,10
FJTSY,0,34,500,8.224499797821045,17.88900032043457,117.50867238362612,10,10
FMCCG,0,34,500,18.393000030517577,2.853999972343445,-84.48322749084922,10,10
FMCCH,0,34,500,20.00900001525879,3.290000057220459,-83.55739889693878,10,10
FMCCI,0,34,500,18.446999931335448,2.859999990463257,-84.49612402499635,10,10
FMCCJ,0,34,500,18.689999961853026,2.8450000286102295,-84.77795594212424,10,10
FMCCK,0,34,500,20.36700019836426,3.272000050544739,-83.9347963928064,10,10
FMCCL,0,34,500,18.417000007629394,3.015999984741211,-83.62382590274308,10,10
FMCCM,0,34,500,18.41299991607666,3.0330000162124633,-83.52794205161372,10,10
FMCCN,0,34,500,18.342999839782713,2.9869999647140504,-83.71585896088939,10,10
FMCCO,0,34,500,20.130999755859374,3.269000005722046,-83.76136284651952,10,10
FMCCP,0,34,500,20.936999893188478,3.3239999771118165,-84.12379999966839,10,10
FMCCS,0,34,500,18.75,3.1509999990463258,-83.19466667175294,10,10
FMCCT,0,34,500,20.977999877929687,3.3460000276565554,-84.04995687326331,10,10
FMCKI,0,34,500,11.16599998474121,1.7539999961853028,-84.29159951117487,10,10
FMCKJ,0,34,500,12.417999935150146,2.2479999542236326,-81.8972462074147,10,10
FMCKK,0,34,500,19.822000122070314,3.2390000343322756,-83.65957010198032,10,10
FMCKL,0,34,500,11.565000057220459,2.2460000276565553,-80.57933405495928,10,10
FMCKM,0,34,500,10.425,1.7239999890327453,-83.46282984141253,10,10
FMCKN,0,34,500,10.38799982070923,1.6490000009536743,-84.12591423359218,10,10
FMCKO,0,34,500,10.385999870300292,1.7929999947547912,-82.73637572553764,10,10
FMCKP,0,34,500,20.275,3.2799999952316283,-83.82244145385141,10,10
FNMAG,0,34,500,21.24699993133545,3.446000027656555,-83.78123952184734,10,10
FNMAH,0,34,500,11.241999912261964,1.9264999985694886,-82.86336938618723,10,10
FNMAI,0,34,500,11.277000045776367,1.9204999923706054,-82.96976159816636,10,10
FNMAJ,0,34,500,11.585999965667725,1.9589999914169312,-83.09166237509106,10,10
FNMAK,0,34,500,20.994999885559082,3.383000040054321,-83.88663939750131,10,10
FNMAL,0,34,500,20.969999885559083,3.2990000009536744,-84.26800181708384,10,10
FNMAM,0,34,500,20.989999771118164,3.45,-83.56360153587457,10,10
FNMAN,0,34,500,21.332999992370606,3.3259999752044678,-84.40913150333307,10,10
FNMAO,0,34,500,20.26200008392334,2.8610000133514406,-85.87997235464691,10,10
FNMAP,0,34,500,21.0,2.8299999475479125,-86.52380977358138,10,10
FNMAS,0,34,500,12.62239990234375,2.4200000047683714,-80.82773463452841,10,10
FNMAT,0,34,500,12.158999919891357,2.2750000238418577,-81.28957941581938,10,10
FNMFN,0,34,500,22.022999954223632,3.687999987602234,-83.25387097458112,10,10
FORM,0,34,500,20.951000213623047,37.085000610351564,77.00825847081823,10,10
FORTY,0,34,500,67.51999969482422,98.41799926757812,45.76125549823189,10,10
FPWM,0,34,500,0.4000000059604645,0.0081000002101063,-97.97499997764827,10,10
FREJP,0,34,500,20.095999717712402,3.300000047683716,-83.57882118810376,10,10
FRST,0,34,500,15.467000198364257,14.791000080108642,-4.370596169819064,10,10
FRTN,0,34,500,0.43499999940395356,0.14500000029802318,-66.66666655248153,10,10
FRXX,0,34,500,0.0199999995529651,0.0280000008642673,40.00000745058096,10,10
FSLR,0,34,500,54.84000015258789,95.8889991760254,74.85229560397877,10,10
