security,block,model_proba,avg_price,avg_volume,position_size,binding_constraint,capital_cap,volume_cap,expected_return_pct,pnl,cumulative_equity
CELZ,8,0.6210564057093343,55332.227471295235,45738.60148083624,49864762.45080835,capital,49864762.45080835,50616374.027131036,-79.13868713378906,-39462318.345952354,957832930.6702147
CTPR,8,0.6205158980573308,0.6290102444908725,24156.537588097104,303.89419228683823,volume,47891646.53351074,303.89419228683823,0.0,0.0,957832930.6702147
ADHC,9,0.6193319804131188,0.002538227714250824,6580330.47456964,334.04754358963874,volume,47891646.53351074,334.04754358963874,-24.197006225585938,-80.82950491880179,957832849.8407097
AWH,9,0.6183698621432797,23.509544278627644,27947.25117370892,13140.542778684765,volume,47891642.492035486,13140.542778684765,-85.40880584716797,-11223.180669110921,957821626.6600405
DNAX,8,0.6173852445300344,30.072482801830578,2208646.7690802347,1328389.8395696806,volume,47891081.33300203,1328389.8395696806,-98.46856689453124,-1308046.4377968272,956513580.2222437
SGLDF,8,0.6168615643549367,0.8398365340710726,7666.389651117209,128.77028226865232,volume,47825679.01111218,128.77028226865232,-80.77519226074219,-104.01444307720432,956513476.2078006
EMMS,8,0.6166511717341983,3.5464153543476398,16780.486687548942,1190.2115128429948,volume,47825673.81039003,1190.2115128429948,115.0522232055664,1369.364806374471,956514845.572607
ZAAG,10,0.6142045711573322,0.260369206910925,9569481.825284649,49831.9678679575,volume,47825742.27863035,49831.9678679575,17.647058486938477,8793.876514850848,956523639.4491218
BCDS,10,0.6136865341731653,0.7855527001185396,194256.29342723003,3051.9711163355973,volume,47826181.9724561,3051.9711163355973,58.24998474121094,1777.7727095716505,956525417.2218314
WDRP,8,0.6135768764666307,0.004600188470747928,2399823.3820180604,220.79279707581566,volume,47826270.86109158,220.79279707581566,-69.79020690917969,-154.091749919777,956525263.1300815
KAYS,8,0.6134245042901074,0.9836476272083775,16292.45472363779,320.5206886061247,volume,47826263.15650408,320.5206886061247,-65.57823181152344,-210.19180017801563,956525052.9382813
TRBO,9,0.6130126292934918,811523.5918453016,548591.9560612005,47826252.646914065,capital,47826252.646914065,8903906292.804506,0.0,0.0,956525052.9382813
NCPCF,8,0.6129317850710221,13.32655738915055,1094.1027048216386,291.6124497086082,volume,47826252.646914065,291.6124497086082,-82.75862121582031,-241.3344426725216,956524811.6038386
CAPC,8,0.6125773983684211,0.3502502351717262,54690.34507042253,383.106124450767,volume,47826240.58019193,383.106124450767,-98.55116271972656,-377.55554009671357,956524434.0482985
BAYP,9,0.6116035927746714,7.299271595201458,5524.737974188502,806.5312593184997,volume,47826221.70241493,806.5312593184997,-94.5454559326172,-762.5386563617548,956523671.5096421
GPGC,8,0.610127422167535,7.073574581116025,3235.9514106583074,457.79487288318296,volume,47826183.57548211,457.79487288318296,-91.00775146484376,-416.6288201323246,956523254.880822
DBMM,8,0.6100058020647523,0.010049702646495526,3663905.3107632096,736.4231779617209,volume,47826162.7440411,736.4231779617209,-39.59603500366211,-291.5943793208039,956522963.2864426
EAPH,9,0.609989120273331,0.006920536428362031,1873819.509788567,259.3567235533452,volume,47826148.16432214,259.3567235533452,0.0,0.0,956522963.2864426
NXSGF,10,0.6093300677432997,2.3514754530224464,4922.40793878527,231.4984287563276,volume,47826148.16432214,231.4984287563276,-76.26283264160156,-176.54725929037534,956522786.7391834
VIVK,9,0.6090654804166644,7.758171551230846,74782.17981939537,11603.459600277252,volume,47826139.336959176,11603.459600277252,52.50563049316406,6092.469622145145,956528879.2088056
FSTTF,8,0.6087809354977017,0.1861675398594262,28328.855855855854,105.47826803433968,volume,47826443.96044028,105.47826803433968,-69.5102767944336,-73.31823606864407,956528805.8905694
NWGC,10,0.6077207577962628,0.0006207134454288787,10323652.685613485,128.16060055796487,volume,47826440.29452848,128.16060055796487,7.275958523678128e-06,9.324912140294322e-06,956528805.8905787
IDGC,8,0.6072413650181336,0.0002149686505743174,29075472.80760188,125.00630308520873,volume,47826440.29452894,125.00630308520873,-63.529415130615234,-79.41577322643732,956528726.4748055
MMMM,9,0.6071883348420368,4.956217127809675,279851.17326538614,27740.0635635108,volume,47826436.32374027,27740.0635635108,-99.91226196289062,-27715.724976247282,956501010.7498293
