Block_ID,Cluster_ID,Total_Securities,Top_Performers,Enrichment_Pct
7,53,117,3,2.564102564102564
7,39,94,3,3.1914893617021276
7,13,213,2,0.9389671361502347
7,40,262,0,0.0
7,3,323,0,0.0
7,16,39,1,2.564102564102564
7,25,147,1,0.6802721088435374
7,36,135,1,0.7407407407407408
7,21,141,1,0.7092198581560284
7,18,78,0,0.0
7,31,139,0,0.0
7,7,139,5,3.597122302158273
7,63,148,3,2.027027027027027
7,50,119,1,0.8403361344537815
7,32,136,4,2.941176470588235
7,47,114,2,1.7543859649122806
7,35,56,1,1.7857142857142856
7,52,120,4,3.3333333333333335
7,1,163,0,0.0
7,19,102,3,2.941176470588235
7,48,71,2,2.8169014084507045
7,34,73,1,1.36986301369863
7,23,94,1,1.0638297872340425
7,60,135,0,0.0
7,66,107,6,5.607476635514018
7,49,103,2,1.9417475728155338
7,11,99,5,5.05050505050505
7,24,71,1,1.4084507042253522
7,33,63,0,0.0
7,30,148,0,0.0
7,61,53,3,5.660377358490567
7,64,50,0,0.0
7,67,49,5,10.204081632653061
8,28,259,2,0.7722007722007722
8,50,403,5,1.240694789081886
8,38,6519,40,0.613591041570793
8,49,183,0,0.0
8,60,266,5,1.8796992481203008
8,57,285,4,1.4035087719298245
8,18,112,7,6.25
8,3,87,2,2.2988505747126435
8,33,142,2,1.4084507042253522
8,64,95,3,3.1578947368421053
8,48,127,4,3.149606299212598
8,45,217,3,1.3824884792626728
8,56,108,3,2.7777777777777777
8,40,100,0,0.0
8,51,200,2,1.0
8,54,122,2,1.639344262295082
8,53,147,1,0.6802721088435374
8,61,307,2,0.6514657980456027
8,24,355,0,0.0
8,5,116,0,0.0
8,27,194,1,0.5154639175257731
8,2,300,0,0.0
8,25,133,1,0.7518796992481203
8,62,73,0,0.0
8,22,233,1,0.4291845493562232
8,34,161,5,3.1055900621118013
8,10,287,0,0.0
8,67,201,1,0.4975124378109453
8,44,187,5,2.6737967914438503
8,14,99,2,2.0202020202020203
8,15,185,0,0.0
8,23,300,0,0.0
8,0,221,0,0.0
8,11,162,0,0.0
8,17,206,7,3.3980582524271843
8,7,330,0,0.0
8,16,175,0,0.0
8,6,235,2,0.851063829787234
8,19,238,2,0.8403361344537815
8,66,76,2,2.631578947368421
8,8,320,2,0.625
8,9,198,1,0.5050505050505051
8,39,86,2,2.3255813953488373
8,68,212,5,2.358490566037736
8,59,329,1,0.303951367781155
8,42,36,1,2.7777777777777777
8,29,155,6,3.870967741935484
8,30,90,2,2.2222222222222223
8,13,81,1,1.2345679012345678
8,4,126,2,1.5873015873015872
8,58,225,4,1.7777777777777777
8,26,324,2,0.6172839506172839
8,35,128,4,3.125
8,43,178,5,2.8089887640449436
8,20,54,2,3.7037037037037033
8,1,127,1,0.7874015748031495
8,31,197,2,1.015228426395939
8,32,119,2,1.680672268907563
8,52,70,0,0.0
8,47,132,0,0.0
8,46,73,2,2.73972602739726
8,55,56,2,3.571428571428571
8,41,152,3,1.9736842105263157
8,63,89,1,1.1235955056179776
8,12,53,1,1.8867924528301887
8,21,141,4,2.8368794326241136
8,36,95,4,4.2105263157894735
8,37,38,3,7.894736842105263
8,65,101,1,0.9900990099009901
9,71,176,0,0.0
9,9,131,0,0.0
9,35,6235,44,0.7056936647955092
9,7,226,5,2.2123893805309733
9,53,188,3,1.5957446808510638
9,40,157,0,0.0
9,44,193,2,1.0362694300518136
9,19,336,8,2.380952380952381
9,18,309,1,0.3236245954692557
9,23,104,1,0.9615384615384616
9,31,104,1,0.9615384615384616
9,55,391,6,1.5345268542199488
9,33,96,2,2.083333333333333
9,42,165,1,0.6060606060606061
9,34,112,0,0.0
9,14,285,0,0.0
9,68,73,3,4.10958904109589
9,52,111,1,0.9009009009009009
9,12,266,2,0.7518796992481203
9,17,337,4,1.1869436201780417
9,26,85,2,2.3529411764705883
9,63,146,2,1.36986301369863
9,74,151,1,0.6622516556291391
9,30,76,0,0.0
9,58,69,3,4.3478260869565215
9,16,287,1,0.34843205574912894
9,27,101,4,3.9603960396039604
9,0,160,13,8.125
9,22,315,1,0.31746031746031744
9,54,220,0,0.0
9,38,168,0,0.0
9,70,163,1,0.6134969325153374
9,57,57,2,3.508771929824561
9,41,91,0,0.0
9,72,87,1,1.1494252873563218
9,59,88,0,0.0
9,1,87,1,1.1494252873563218
9,62,205,2,0.975609756097561
9,67,332,0,0.0
9,15,148,3,2.027027027027027
9,10,184,4,2.1739130434782608
9,28,151,1,0.6622516556291391
9,20,178,2,1.1235955056179776
9,3,71,2,2.8169014084507045
9,56,280,3,1.0714285714285714
9,36,81,2,2.4691358024691357
9,60,135,0,0.0
9,69,166,3,1.8072289156626504
9,37,75,1,1.3333333333333335
9,75,174,0,0.0
9,8,462,5,1.0822510822510822
9,51,163,5,3.067484662576687
9,2,118,4,3.389830508474576
9,48,134,1,0.7462686567164178
9,13,355,1,0.28169014084507044
9,61,358,2,0.5586592178770949
9,43,182,0,0.0
9,66,128,1,0.78125
9,21,193,1,0.5181347150259068
9,4,75,2,2.666666666666667
9,6,138,4,2.898550724637681
9,73,34,1,2.941176470588235
9,49,58,1,1.7241379310344827
9,64,152,0,0.0
9,24,160,2,1.25
9,11,172,1,0.5813953488372093
9,25,87,1,1.1494252873563218
9,65,100,3,3.0
9,5,78,0,0.0
9,50,119,1,0.8403361344537815
9,46,62,0,0.0
9,39,60,0,0.0
9,32,45,4,8.88888888888889
9,47,44,2,4.545454545454546
9,45,89,1,1.1235955056179776
9,29,39,0,0.0
