Block_ID,Cluster_ID,Security,Cluster_Size
6,15,BYLTF,90
6,15,CAFZF,90
6,15,CBYI,90
6,15,CHMN,90
6,15,CMRB,90
6,15,CNLTN,90
6,15,CNWT,90
6,15,CRNZF,90
6,15,CVLT,90
6,15,CWVWF,90
6,15,DMCHY,90
6,15,DRUNF,90
6,15,DTW,90
6,15,DVTC,90
6,15,ECRAF,90
6,15,EENEF,90
6,15,ENSC,90
6,15,ENZC,90
6,15,EWLU,90
6,15,FENC,90
6,15,FERL,90
6,15,GEBHY,90
6,15,GES,90
6,15,GFGY,90
6,15,GPOX,90
6,15,GVDI,90
6,15,GWMGF,90
6,15,HSCM,90
6,15,ILXP,90
6,15,IMMQF,90
6,15,IQ,90
6,15,IREHF,90
6,15,ISLV,90
6,15,KGRI,90
6,15,KJFI,90
6,15,LBCMF,90
6,15,MDNDF,90
6,15,MEMI,90
6,15,MLGAF,90
6,15,MNIZ,90
6,15,MRZM,90
6,15,MTRT,90
6,15,MTSFY,90
6,15,NADA,90
6,15,NFTM,90
6,15,NGCG,90
6,15,NIHK,90
6,15,NTBP,90
6,15,NXMR,90
6,15,OERCF,90
6,15,ONSS,90
6,15,PACK,90
6,15,PCLI,90
6,15,PDPG,90
6,15,PLTYF,90
6,15,PPBB,90
6,15,QEBR,90
6,15,RDVT,90
6,15,RFL,90
6,15,RPGRY,90
6,15,SCWO,90
6,15,SFIN,90
6,15,STNX,90
6,15,THDDY,90
6,15,THLPF,90
6,15,TIACF,90
6,15,TLPFF,90
6,15,UCIX,90
6,15,VCLD,90
6,15,VSMR,90
6,15,WELX,90
6,15,WSFL,90
6,15,WXIBF,90
6,15,XMTTF,90
6,15,XXFPL,90
6,15,ZSTN,90
6,35,ACR,55
6,35,ADRZY,55
6,35,AFRMF,55
6,35,AGIN,55
6,35,ASC,55
6,35,ASNCF,55
6,35,AWLCF,55
6,35,BAOB,55
6,35,BCOV,55
6,35,BDCM,55
6,35,BEST,55
6,35,BIOAF,55
6,35,CGLD,55
6,35,CORG,55
6,35,CRVS,55
6,35,CSIQ,55
6,35,CSLI,55
6,35,CTBG,55
