Security,Percent_Return,Blocks_Appeared,Unique_Clusters,Cluster_Changes,Stability_Score,Cluster_Sequence
FBCD,23095.000392537873,10,10,9,0.0,"[17, 53, 46, 34, 52, 44, 54, 68, 18, 15]"
NSAV,23022.500170880987,10,9,9,0.0,"[4, 38, 45, 51, 45, 2, 39, 21, 68, 17]"
TKVR,22758.182171212127,10,10,9,0.0,"[38, 24, 17, 5, 8, 32, 40, 54, 18, 0]"
YTFD,22400.000502914383,10,10,9,0.0,"[61, 3, 46, 50, 13, 37, 42, 66, 36, 27]"
WWRL,21900.00043655746,10,10,9,0.0,"[62, 3, 49, 52, 24, 12, 65, 41, 42, 37]"
EEENF,21194.00053769324,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 38, 35]"
MDCE,20740.000701402296,10,10,9,0.0,"[11, 3, 48, 36, 62, 47, 66, 7, 33, 35]"
ROWC,19900.001455191534,10,9,9,0.0,"[53, 18, 37, 40, 52, 33, 61, 68, 18, 19]"
CDID,19900.000058207603,10,9,8,0.11111111111111116,"[61, 61, 36, 26, 24, 42, 62, 68, 38, 35]"
AQBN,19900.000058207603,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 38, 35]"
SMEV,19750.00049549268,10,9,9,0.0,"[62, 10, 57, 37, 52, 32, 13, 32, 21, 26]"
TTNN,19534.99899824623,10,8,9,0.0,"[53, 5, 44, 43, 54, 44, 4, 54, 8, 3]"
ICOA,19170.000721047374,10,10,9,0.0,"[8, 58, 49, 36, 13, 42, 45, 68, 56, 35]"
ENZC,19035.326691012357,10,10,9,0.0,"[38, 30, 21, 32, 52, 24, 15, 61, 44, 48]"
SFRFF,18800.000036379763,10,10,9,0.0,"[21, 54, 14, 47, 12, 28, 45, 68, 38, 35]"
FMNJ,18500.000817817596,10,9,9,0.0,"[38, 53, 43, 34, 5, 53, 59, 69, 27, 19]"
YSGG,18081.81858821363,10,10,9,0.0,"[1, 2, 9, 16, 55, 57, 47, 22, 19, 7]"
OFSTF,17510.489582859158,10,10,9,0.0,"[61, 3, 9, 50, 13, 42, 29, 67, 37, 58]"
COUV,17300.00075836405,10,10,9,0.0,"[29, 45, 46, 50, 4, 31, 55, 37, 33, 42]"
MNDP,16880.00045547492,10,8,9,0.0,"[33, 35, 45, 50, 13, 30, 33, 48, 45, 15]"
EXHI,16783.333424602974,10,10,9,0.0,"[51, 61, 6, 33, 34, 1, 60, 2, 30, 8]"
WNFT,15300.061206508533,10,9,9,0.0,"[33, 38, 46, 4, 30, 59, 19, 11, 22, 19]"
LBTI,15078.316760489,10,9,8,0.11111111111111116,"[54, 55, 46, 14, 27, 40, 45, 53, 53, 51]"
RRRT,14986.474881782735,10,6,8,0.11111111111111116,"[4, 57, 12, 12, 13, 65, 31, 65, 4, 12]"
MOOIF,14660.000724685338,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 26, 48, 19]"
TONR,14571.429164938758,10,10,9,0.0,"[62, 21, 22, 40, 25, 24, 26, 36, 51, 1]"
XCPT,14404.999870857158,10,10,9,0.0,"[37, 54, 55, 52, 14, 33, 32, 41, 17, 70]"
OCLG,14350.000625402588,10,10,9,0.0,"[47, 46, 49, 34, 21, 5, 59, 65, 38, 0]"
CDNO,13600.000170257343,10,10,9,0.0,"[52, 61, 24, 18, 31, 13, 46, 62, 68, 63]"
CRSQ,13536.364252114536,10,10,9,0.0,"[59, 0, 41, 46, 11, 37, 42, 66, 36, 27]"
EUBG,13375.284923841768,10,7,9,0.0,"[17, 57, 26, 13, 63, 20, 13, 20, 13, 8]"
MTRT,13263.713890795583,10,9,9,0.0,"[23, 26, 14, 34, 61, 34, 15, 19, 57, 58]"
REVXF,12872.508208440098,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 38, 35]"
PGAI,12799.99937834544,10,10,9,0.0,"[61, 3, 46, 50, 14, 42, 45, 68, 38, 69]"
GHST,12418.181458545127,10,10,9,0.0,"[19, 39, 53, 62, 23, 60, 27, 69, 29, 44]"
AGYP,12104.258875935337,10,9,9,0.0,"[35, 21, 33, 58, 23, 59, 28, 53, 51, 33]"
TGGI,11955.00022228047,10,10,9,0.0,"[53, 12, 49, 3, 13, 0, 39, 11, 32, 26]"
VRSEF,11939.999287538885,10,9,9,0.0,"[13, 33, 23, 8, 13, 48, 55, 0, 66, 32]"
ARAT,11840.000165154557,10,9,9,0.0,"[6, 3, 56, 32, 13, 42, 26, 15, 43, 32]"
ETPHF,11800.000062573175,10,9,8,0.11111111111111116,"[6, 25, 37, 37, 65, 28, 45, 32, 60, 55]"
NSPT,11504.00026921032,10,10,9,0.0,"[48, 18, 14, 50, 13, 42, 45, 68, 43, 47]"
SGGDF,11490.000412546757,10,9,9,0.0,"[4, 39, 46, 18, 59, 20, 39, 10, 35, 62]"
IFAN,10934.539047857434,10,10,9,0.0,"[0, 38, 20, 40, 30, 56, 45, 68, 34, 44]"
VTON,10900.000218278381,10,10,9,0.0,"[61, 3, 46, 52, 13, 42, 45, 68, 38, 35]"
VPSN,10900.000218278381,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 29, 0]"
CGAM,10900.000218278381,10,10,9,0.0,"[61, 11, 19, 47, 17, 42, 45, 68, 38, 10]"
MKGP,10835.713986657629,10,9,9,0.0,"[53, 19, 21, 25, 19, 47, 40, 68, 61, 72]"
VPER,10800.000292493469,10,9,9,0.0,"[3, 25, 40, 50, 7, 46, 50, 11, 45, 51]"
KARE,10730.000037107324,10,10,9,0.0,"[33, 30, 49, 50, 42, 54, 28, 68, 38, 73]"
PBYA,10539.000300860786,10,10,9,0.0,"[37, 33, 11, 62, 16, 52, 28, 0, 50, 12]"
