Block_ID,Cluster_ID,Security,Cluster_Size_x,Score,Median_Price_Level,Avg_Correlation,Cluster_Size_y,Post_Clustering_Return,Category
9,47,NOHO,44,6,1.0247675507068634,0.5283099874151118,44,740.0000145518754,500-1000%
6,43,BUENF,44,5,0.0049999998882411,0.0,44,710.9000133924329,500-1000%
7,67,BUENF,49,5,0.0060000000521539,0.0,49,710.9000133924329,500-1000%
8,37,BUENF,38,5,0.0025000000605359,0.0,38,710.9000133924329,500-1000%
9,32,BUENF,45,5,0.0049999998882411,0.0,45,710.9000133924329,500-1000%
9,32,JECFF,45,5,0.0049999998882411,0.0,45,697.3684548485506,500-1000%
0,60,ASPT,38,5,0.0063999998383223,0.0,38,650.0000254661256,500-1000%
7,16,ASPT,39,6,0.6767042407989502,0.5262639916100307,39,650.0000254661256,500-1000%
7,16,QIAN,39,6,0.6767042407989502,0.5262639916100307,39,584.3800480195318,500-1000%
4,33,NSLPQ,32,6,0.0064991200286894,0.4060257060086556,32,554.5454704201911,500-1000%
3,14,GCHK,39,6,0.1236479993462562,0.4344310006454784,39,533.896126839502,500-1000%
0,60,MIRXF,38,5,0.0063999998383223,0.0,38,518.6193973689172,500-1000%
0,60,SGTM,38,5,0.0063999998383223,0.0,38,506.0240942441357,500-1000%
6,43,SGTM,44,5,0.0049999998882411,0.0,44,506.0240942441357,500-1000%
7,67,SGTM,49,5,0.0060000000521539,0.0,49,506.0240942441357,500-1000%
8,37,SGTM,38,5,0.0025000000605359,0.0,38,506.0240942441357,500-1000%
1,32,CFEGF,42,5,1.439387990951538,0.0,42,493.9393816243857,100-500%
