Block_ID,Cluster_ID,Mean_Return,Std_Return,Num_Observations,Num_Securities
4,52,2076.1510875776717,9686.275904473554,137,137
5,5,2070.1927600017,12079.760156392565,99,99
8,35,1965.3401231513585,13658.939789957185,128,128
1,57,1963.612902454284,10573.474824811725,137,137
4,21,1943.7668189649605,11084.947247827748,81,81
6,15,1935.5058207227655,11609.957766792628,90,90
6,61,1912.6918562777346,13050.237540100661,78,78
3,8,1896.2256500113876,12651.671400370724,74,74
2,57,1896.0978980896932,7973.424868631382,95,95
7,68,1873.4243913188377,54000.44318707988,6777,6777
2,56,1859.6761913728596,12170.603828402396,68,68
3,12,1844.6034870112169,16910.569927810004,131,131
8,28,1841.7919451480623,27958.602921648493,259,259
6,0,1841.340322980977,14194.90901358769,73,73
2,49,1832.1516086731535,7754.585942298629,120,120
3,42,1797.6195013928643,14093.289028240975,74,74
0,44,1779.1189257859257,13343.924246066661,73,73
8,14,1680.0845269578665,11764.314413663458,99,99
1,25,1679.1277990115052,9947.217373619216,116,116
9,65,1637.0588139719607,8594.059976816518,100,100
6,46,1621.4622061841758,7797.320555952519,66,66
0,18,1549.1108272324263,14279.484215464161,185,185
9,55,1535.130167920794,21203.83071300473,391,391
5,40,1508.0751526685035,7379.275254011153,91,91
5,42,1492.214917911784,49987.826076826874,7466,7466
5,24,1485.3042088770344,8436.17768383975,133,133
7,19,1477.9382701068846,11077.039597440056,102,102
3,58,1455.9409024316822,11587.194127233064,99,99
8,18,1453.0299798947656,6266.203140258951,112,112
0,62,1448.0184863240686,6365.230579376826,139,139
5,35,1437.6322108607642,9710.40322308271,84,84
9,47,1431.918425470304,6736.137664769043,44,44
8,39,1431.2167126346653,9697.404310426624,86,86
5,46,1424.2908870577753,10111.574470015943,89,89
3,44,1412.631041322068,6947.553244787182,128,128
3,0,1384.094398096194,11379.378908275063,77,77
6,54,1363.7827298154082,6554.163357893112,104,104
9,35,1360.6087252031639,41057.287631034975,6235,6235
7,61,1359.2197463004575,6382.488923663874,53,53
7,12,1355.9651006719998,12873.861547379298,213,213
9,58,1340.1161818947332,6601.513319273824,69,69
6,66,1339.5090921701828,8447.53130073193,142,142
9,10,1331.4834971574303,10340.322667756423,184,184
0,48,1320.259890982769,6904.781765854369,107,107
4,43,1317.4617723977922,8379.21903774824,60,60
1,3,1316.6019932661204,49227.42364546445,8267,8267
4,62,1300.5556068978628,6409.952208010586,66,66
5,27,1289.344238233376,9184.60185212944,129,129
0,33,1286.8768151306456,6055.346250580469,123,123
6,55,1286.189679715268,8575.937870021642,189,189
6,32,1269.801829935351,6880.351471318062,96,96
3,18,1269.4379319127306,24410.966434563492,611,611
4,38,1264.3269619880612,10162.267170810417,198,198
8,38,1262.3861432124136,48403.46165300407,6519,6519
8,29,1260.586358055517,9272.023043597204,155,155
2,11,1237.0180685502082,10066.038074943724,200,200
0,30,1227.0640421270282,9862.990289133413,162,162
4,7,1211.12135631197,4584.354390704654,75,75
4,5,1205.0915480573487,6431.544299037003,70,70
0,56,1202.312888258014,10108.05942620947,130,130
9,27,1193.1543277421167,4929.488736040446,101,101
4,17,1185.5897498004867,9931.975357798465,102,102
7,11,1184.5723718248585,5314.97066425961,99,99
4,25,1173.60648499108,10513.054444396548,402,402
2,43,1172.0702023093966,6742.640993835558,164,164
6,20,1166.8305448485746,5482.170293989827,52,52
7,53,1161.784718149878,8925.690478357676,117,117
0,53,1153.3664594892934,5996.487009623259,127,127
2,15,1145.5803399794975,12812.739534387241,307,307
4,3,1145.1230103768935,8477.388552297673,84,84
4,40,1135.3309663340951,6895.189023251317,82,82
9,69,1126.5454309943775,9074.606848103724,166,166
0,59,1125.4618949801215,5293.801182677961,72,72
1,20,1125.0076764129076,9338.745712481996,166,166
2,27,1105.860692228154,7906.116602000684,146,146
6,4,1090.7107044801696,7670.814062521523,230,230
1,61,1083.169571527049,4084.1705045585672,85,85
8,60,1080.328193235894,11880.714842289,266,266
7,69,1078.3037051345125,4768.5632520746,135,135
8,56,1052.229372265714,5518.62734117444,108,108
6,45,1049.3069305694594,42397.082044892624,7073,7073
3,52,1044.2958996148025,6272.572392418501,140,140
8,54,1025.9752814544715,7039.223841261574,122,122
4,8,1012.4904046131948,6062.489337228993,81,81
1,4,1010.9379733685369,5018.226881268621,58,58
1,53,998.5907044849777,5456.364135194604,115,115
0,54,997.393621735685,5206.125739576718,95,95
1,60,987.1913379800461,10320.208355640747,138,138
8,3,983.2962626895885,7009.202674886445,87,87
8,48,974.7121564385014,7457.504485779811,127,127
7,49,972.7002415890764,7889.567119183822,103,103
2,46,959.5294351659833,39171.51249621909,8073,8073
9,45,953.3243875191488,7901.071453289494,89,89
6,26,936.9849486746866,7635.5570768301895,260,260
7,25,925.3602529321817,9604.412866835368,147,147
4,26,922.7038470009178,7128.0332617681825,336,336
0,13,918.3039879718862,7951.317245024078,258,258
5,39,905.0858984076956,6108.045262538019,65,65
9,36,902.2205785240757,5137.0618858398675,81,81
0,4,901.2172272931595,5747.6165652640175,427,427
2,29,892.8790820579987,6067.062827866047,100,100
0,28,892.0780545156742,7824.137315866375,160,160
7,15,891.0463522320297,7461.434461195603,300,300
8,20,890.4648422244935,4644.401051370096,54,54
3,4,888.6982255787584,4134.885813933378,63,63
7,54,881.8393809358773,5596.662633205353,202,202
8,36,879.1672828775359,3030.2512352567232,95,95
3,26,869.5309901502394,5635.431596978778,126,126
5,31,868.4296692372534,5370.579930016702,82,82
9,19,856.740672768634,6729.558098848674,336,336
7,66,851.2816553745861,2942.102145573908,107,107
6,68,843.9254462195692,8017.726055470942,156,156
5,64,834.9284709012436,4494.124861619237,216,216
1,58,829.0554789211897,2534.048224222705,89,89
1,8,821.2630278388456,6426.971332396937,157,157
1,24,818.7322796389892,5738.512157840678,145,145
9,6,818.3209243126834,5514.587687004217,138,138
3,59,809.4665596939611,5694.780222575778,80,80
2,51,803.8158413142855,5878.588999562843,119,119
3,32,801.8238504680969,6571.492969011442,194,194
3,14,791.0708989284001,2848.924112060761,39,39
9,31,788.9758794018793,4869.0508191573645,104,104
8,68,787.2940387511813,5612.007975193892,212,212
5,11,786.4395851454077,5442.225068500277,122,122
2,42,781.5122932525995,6269.606605396907,121,121
4,13,781.0873719399483,37230.03025018143,7711,7711
0,10,759.514163706438,6534.1660220915055,131,131
9,51,759.1187613487483,4116.83860229631,163,163
1,7,757.919000387549,6239.478597156553,160,160
7,34,734.1189590951489,5762.15679172768,73,73
2,12,725.2435969026935,4324.341625572537,244,244
8,65,717.7684560822969,5978.7395746439315,101,101
2,21,704.1614534047575,8054.226578327826,505,505
3,50,694.0005261664356,36305.13307348078,7854,7854
1,0,688.7233120251926,2148.946344730955,94,94
7,48,680.8306685807697,2321.634778321844,71,71
1,45,679.4881909172425,9909.94468735824,384,384
8,21,677.7677031830457,3662.9340110530366,141,141
6,28,675.8339124705574,4970.2255487412,256,256
3,16,674.0746584136873,5161.3580012004595,240,240
8,42,673.9269510857781,3644.0170528350236,36,36
6,14,664.6558405858499,5083.448480082268,255,255
0,61,661.3439433013052,27096.379964000083,8301,8301
0,8,658.6657940861076,4674.086473145525,112,112
8,64,657.4735621499485,3664.1943785053686,95,95
7,10,649.4845403122191,7035.1209110711325,492,492
7,50,645.8356099459639,6300.122495277461,119,119
4,27,644.0459987912783,3818.849641695738,177,177
1,32,642.6109785366954,1700.945593513109,42,42
8,12,639.449298911286,1734.997739245264,53,53
6,13,638.4038713821956,2765.309132395523,90,90
5,56,618.1477575492603,7150.355595491385,291,291
0,45,615.7681754719234,5567.197750036704,139,139
9,7,615.5771857371387,4044.9530709083106,226,226
8,63,612.533310262995,3249.3645526214596,89,89
9,3,609.5320965635499,2528.2860899753023,71,71
1,54,608.3078129032007,4881.895514168398,271,271
9,26,604.7509671037285,2529.555663889853,85,85
7,7,604.1103218874966,2280.3150948977495,139,139
3,9,604.0903328131704,7038.284850787934,341,341
7,65,602.3912235315969,2175.6674616762316,122,122
8,1,595.5432334364432,5640.523447009822,127,127
2,10,595.5005477157051,3392.041036464625,103,103
5,55,593.0679640617095,4166.111836822216,137,137
2,41,580.9387597989843,2102.492118145514,89,89
2,32,580.8586314221974,1853.2722258298022,70,70
1,30,580.4402371383184,3347.983602267717,214,214
1,55,580.1468695533104,1583.748899449615,169,169
5,59,576.7021741138151,3998.9830294228636,413,413
0,0,572.521746283611,4652.217999797323,120,120
9,20,565.1820911816619,6644.845031781705,178,178
3,49,562.7538980703755,4434.98760441152,112,112
2,9,561.9482663267166,3501.1775593557722,221,221
3,48,556.3932519833146,1672.1249696122113,64,64
7,0,555.5516052429482,6219.0966287592,459,459
5,47,549.0977180424651,3690.947201115158,289,289
9,15,547.6661132002914,2488.502020262549,148,148
5,44,547.4331420865553,2648.1530494023627,138,138
7,41,547.3585981885049,5364.882157301149,259,259
6,8,545.2654141092307,6884.758028626481,281,281
4,0,538.1614142487449,1640.585103406109,57,57
5,53,534.2598691508745,2240.8473306232377,80,80
7,63,533.628841615171,3656.0714864547895,148,148
3,7,533.1353444382117,4286.395277975508,74,74
5,29,532.5678339864758,1560.63032805042,104,104
9,8,522.7303304552347,5179.119738753653,462,462
8,31,509.8694806572137,5717.615497896921,197,197
9,73,506.81328442152466,1864.4691344489931,34,34
6,23,505.2170258547502,6711.09493610507,357,357
8,50,496.1864370388359,4367.857722137529,403,403
8,55,489.16066771782806,1628.9341977256597,56,56
3,34,486.1373768461089,2350.1741267093084,234,234
8,33,478.63744476770427,2331.335485667183,142,142
5,68,477.0274324462315,3395.3342261880402,157,157
5,41,473.09205504391224,1720.9210820658618,33,33
4,6,466.5442856423178,2859.0369384597548,209,209
6,25,460.6969289476054,3646.2358352327265,277,277
3,2,458.5317029327785,3616.4926637716035,115,115
3,51,455.3850181375245,2441.6039440537807,103,103
4,45,455.15126205740484,3713.2827622488576,169,169
3,43,450.39096616948973,2971.7771527646382,175,175
2,24,446.870963447087,6419.161722303856,368,368
9,17,446.0071655559814,3285.746890406359,337,337
1,18,443.860827893765,2130.413086248683,128,128
7,47,442.49417000412984,3277.2146137926547,114,114
9,4,437.0322896613651,1335.3058600604984,75,75
9,56,432.9984522810385,4612.192314175072,280,280
0,52,427.9122815533116,1666.7379297560926,105,105
7,37,425.8148606145551,2015.8676375385835,104,104
6,19,424.5217701599243,1768.927896889686,115,115
2,13,424.06772162330793,1437.6037968524363,92,92
8,19,422.960324865378,3019.5749940578044,238,238
5,30,420.58747124850083,1730.318312416133,121,121
4,23,419.5703944544813,1861.0731806616018,98,98
0,25,416.82184837717386,1745.858237013868,34,34
5,10,416.03700889826587,3705.908211557039,284,284
8,66,415.9054829272609,1661.3884003011447,76,76
5,43,410.50197018187015,1382.8613953597535,57,57
5,52,405.16311353708466,1582.4458756815413,58,58
2,30,402.04172951207397,2484.9782549224583,142,142
5,32,401.6811109912181,2436.0302490722556,169,169
1,41,400.5886659033371,4310.200195797557,257,257
8,13,400.27399345850586,1675.6809678781992,81,81
4,29,399.0867620181906,3240.8416147415237,164,164
9,53,398.5287375155961,2594.1740101190417,188,188
8,8,396.1924735899146,5064.680880498059,320,320
6,17,391.7999779658736,1305.578389519732,78,78
0,17,385.06327043373443,1728.31554457206,265,265
9,37,383.39991436024974,2550.9047689867853,75,75
0,20,380.0566630822824,2377.9638654630944,436,436
0,57,375.7939574749371,1129.6871593710937,66,66
7,35,372.3620926603186,1378.8479994003492,56,56
1,23,372.03515243047514,2802.6392467661826,165,165
4,64,368.42440455295724,6015.946464484076,324,324
4,4,362.25540140746216,2111.7194671420025,72,72
0,37,361.60991632159784,1549.206701123512,215,215
6,31,361.3377023523827,1746.567847867328,96,96
5,1,357.43758044737694,3372.5613591771926,347,347
2,28,357.0719753085838,3173.053162367225,143,143
0,24,356.4009239342991,4535.1311008578405,230,230
7,43,352.33788825908186,3955.2853161527423,272,272
5,0,350.2856330665926,3663.9397455525213,293,293
0,36,348.13432764996526,2443.021865662157,132,132
3,62,346.66235493871807,1449.5494184435083,184,184
6,27,345.88823456595554,1367.005321329709,108,108
5,26,345.4134500373216,977.0709485255505,84,84
0,1,339.5873831973542,2122.2580915954654,95,95
3,55,338.44904817931865,1110.8460566275226,95,95
5,2,336.6065496730646,2542.306514222128,82,82
8,30,335.7167007395237,1953.7056847818992,90,90
8,58,333.9214873791967,1917.158728696409,225,225
7,21,330.30919725055094,2023.1281839202736,141,141
6,39,328.7672525019332,1860.7137413942185,260,260
2,0,323.9171795694738,4979.790039996605,316,316
6,38,323.758462274396,4025.21228820677,401,401
4,63,320.4624932362078,1473.1388751308646,131,131
4,22,319.2502351239154,921.2722898913598,88,88
8,4,316.8873612971922,1515.6130553465666,126,126
6,35,315.31623822372865,1156.3204099733728,55,55
7,8,315.1991750929378,3286.576953243475,381,381
7,6,310.8477545521255,2530.398687456589,206,206
3,33,310.59266566714894,1356.8128337998771,271,271
2,47,310.3730376433174,939.4718028088304,88,88
1,38,309.31982405332406,1595.6316805992863,411,411
8,45,306.5377839727587,1503.9342077271028,217,217
5,54,303.5980579908126,1195.5286492699845,102,102
2,55,302.960597038307,1223.3152261590676,252,252
9,33,302.807063122649,1393.9845025366503,96,96
9,34,300.87814769681154,858.1597871943784,112,112
1,6,294.87438502518216,3866.9800121566122,240,240
2,40,294.8006538491563,1287.8047961212478,89,89
1,34,294.4347902135944,1494.1526596333545,74,74
8,53,287.66275952206627,1384.672855949364,147,147
8,51,285.05352461183725,1384.8239336952322,200,200
9,72,283.1440781421022,1294.450517359192,87,87
4,19,282.6459754318964,1181.1021370175897,121,121
1,29,279.70736774392867,2508.153044053061,231,231
6,57,277.7072331063995,1101.4469114926658,167,167
0,50,277.2376835082164,1103.4119582294493,105,105
9,50,275.28175375958733,1055.3349295932117,119,119
1,21,275.1462560712849,1467.2622046763013,185,185
4,55,273.85649003770635,1455.737794954528,230,230
2,6,273.2504681124662,1712.2011971603893,106,106
7,13,272.5040676605177,2602.2040552412977,213,213
9,24,271.1782207764621,962.034542474781,160,160
1,39,269.697172913667,1177.139593164134,236,236
9,30,269.51644483709043,882.1684844413292,76,76
9,49,269.18922728996074,788.0172045969339,58,58
4,16,267.58121592434065,1302.3464995897475,74,74
4,35,265.4668956622584,857.9634528612219,106,106
4,57,265.2826114394123,754.8418786347133,172,172
2,23,264.36328742548704,1108.459382872017,153,153
2,37,260.7720223056488,1521.6768927150358,260,260
9,25,260.2181031495127,1136.6596973324636,87,87
9,61,260.05964159546704,3474.0577349826985,358,358
9,1,259.7898636754279,1568.055859031591,87,87
2,38,259.3925119650602,886.5197234713654,103,103
8,59,258.4833358291664,2775.620883826396,329,329
6,44,257.19523488215026,824.1713599106857,41,41
7,64,255.3866751057094,892.7994390726167,50,50
1,49,255.1224257111877,3145.485020007483,297,297
4,31,254.27379204934007,1507.5424651309336,105,105
8,61,251.76278290996518,1013.2818034610599,307,307
0,31,248.70200858959592,1239.6022074627722,143,143
1,56,247.71629360346964,874.6375104965274,126,126
4,9,247.45282782916098,700.0548957714661,84,84
0,39,246.17488318260217,877.0547142783098,109,109
6,71,245.36229971506606,980.904024405717,43,43
6,50,244.6581426528616,1295.4531953986352,92,92
9,74,244.51136688437177,1923.29218290395,151,151
9,18,243.2480717309628,2849.6857053168083,309,309
4,34,237.531382910528,1492.2081937892635,132,132
1,12,230.81503329100687,1169.2909851293766,158,158
3,22,230.55482118826137,941.880111827251,246,246
3,60,230.4150808436693,1064.2397259562617,114,114
3,13,229.20575897836576,1241.4352295065241,221,221
9,48,229.05103865159364,1666.5582812499633,134,134
0,5,228.3806127051192,1029.8389961353587,237,237
6,36,227.664046481341,1006.5090302806676,110,110
3,61,227.31669727412253,640.9951303936242,117,117
6,65,227.15826935782098,1895.0859379228218,134,134
4,53,224.21334315878926,2088.1195601894424,466,466
2,33,224.08983436597316,1261.1179341812754,95,95
8,32,221.22226745612187,1270.0902406787802,119,119
9,52,220.50952775172195,870.2350494595715,111,111
0,47,216.09508866264514,1187.1169915471148,167,167
9,44,215.40628873977792,1226.9438297101156,193,193
8,26,215.19157859353328,2793.5456799533367,324,324
2,20,212.9516625035873,1090.2950499792423,232,232
7,22,212.32639491263382,1421.104451198011,178,178
7,62,211.66940337902378,1338.6004342638978,110,110
1,46,211.34210270990545,3803.7884405419745,829,829
5,48,209.69091894199138,1021.5622976994908,220,220
2,17,207.58283730669254,1679.8890923715658,202,202
3,57,206.19054496698374,772.0232826342427,129,129
0,11,202.7203760862635,1629.7297491627905,166,166
9,11,201.82908092226853,852.9129437081616,172,172
9,23,200.16837248891676,872.2625805312632,104,104
1,31,199.54031427173024,748.8717463553194,83,83
3,1,199.4905909852119,1044.4083354754212,94,94
9,12,199.30731833436886,1184.1551358664349,266,266
9,62,198.65846733070367,1123.4667209026707,205,205
7,2,197.27438149411682,1059.239069588513,352,352
5,4,196.89161384228413,533.675500125491,82,82
5,20,196.7971399182494,1176.5253215779114,248,248
4,2,196.77577423780218,973.9249075592055,132,132
1,47,196.50657859791764,849.6519846034942,73,73
8,27,196.0452704992456,1404.6635029208658,194,194
5,66,195.0331045683806,642.3752737027569,165,165
6,2,194.8794954248262,930.8152252243868,136,136
4,32,194.78651755072312,770.9009704123694,164,164
6,6,191.3925551277657,759.6729583650214,179,179
1,44,191.16699323941864,1486.9592365241065,368,368
7,29,191.01272141816023,873.0529632409892,130,130
1,50,190.80139396326686,793.3306508380558,154,154
2,52,189.0410536931633,765.0708442516033,84,84
7,36,187.19109524585417,1292.664606723267,135,135
0,19,186.79898786008903,1052.1302446128643,146,146
7,24,186.4190363951865,941.1029294758418,71,71
7,9,185.34946709919953,908.5023184816956,225,225
6,1,184.5043209329202,695.1321658218939,146,146
1,26,183.90942868744682,1046.6034499909297,179,179
4,61,183.70554230707165,1283.8973568061483,118,118
3,35,182.8154304618143,751.7805914778761,263,263
9,42,182.58761468028564,1395.7169725295987,165,165
0,15,182.13071980003494,720.4750446652353,325,325
9,28,180.9759479845731,656.3676984001266,151,151
2,34,180.5615460088197,718.3547451976141,160,160
6,52,179.48833520352045,573.0839686654449,181,181
9,70,178.59943956293972,1154.0087543232166,163,163
1,11,178.1802839286759,1028.615876034738,143,143
6,51,177.97942264402107,747.5810105065137,126,126
4,47,177.51577029950388,629.603922622594,103,103
6,3,177.48896903782455,872.6398273833107,230,230
0,46,172.8559005005539,800.3048373273937,180,180
1,62,172.8468057415354,697.0011060304869,136,136
5,13,172.16625640165685,1511.1896799023505,437,437
6,69,172.02511093960996,699.0969685684025,178,178
0,23,170.76104455394554,1178.430759425829,132,132
4,58,170.671174199581,847.5923984383383,141,141
4,54,169.0568005485051,1411.5231329399771,206,206
6,58,167.71826142998003,887.7421150512096,149,149
3,25,167.25744974509448,1095.7338399690968,102,102
9,59,165.59173052956845,546.9127418842983,88,88
2,31,163.09555821507962,633.3426892126834,258,258
0,7,160.2736051234855,372.70146500428353,45,45
3,27,157.71390985521768,581.212484126962,68,68
5,50,155.60925325185332,711.1357940225937,308,308
1,51,155.14409144848577,878.0501242090946,262,262
7,27,154.31467857552107,515.1355498081437,72,72
6,5,152.67831309989245,486.05164582625537,196,196
0,51,152.44598991905372,1471.0405115459037,132,132
7,44,151.91303214175338,512.1197152262987,170,170
4,59,150.7959794673165,1306.9971627378673,408,408
6,63,149.86278421027558,526.788785049536,107,107
3,39,149.31723067986175,338.42937484845186,77,77
8,22,148.96867322260192,1081.5352376180763,233,233
4,10,148.096553627318,478.3530954906663,81,81
7,23,146.68874849571145,674.1844398835647,94,94
5,23,145.39005201942052,755.1532149469296,99,99
1,9,143.92921095521288,451.1450637150001,196,196
2,26,142.67369430956415,1114.6253806817504,152,152
7,1,142.6684965352411,577.3103821156752,163,163
2,39,140.52840388404962,295.300976707269,81,81
2,8,138.75934266525846,468.01382966193523,38,38
5,60,138.33978289572477,979.236867342923,173,173
8,6,136.22195874209928,767.8284044591045,235,235
3,21,135.57625416810728,393.9068311887505,99,99
5,62,135.04702464310063,458.82807674951147,74,74
7,14,134.32990280720387,599.768266936258,99,99
8,49,133.8057981193458,486.19854005766047,183,183
3,31,132.97161509108795,736.0424565451198,237,237
1,37,132.61117679131712,483.23206668753465,132,132
3,53,132.43596630360565,334.3135136319531,77,77
7,17,132.13151684178683,723.6899069819856,171,171
4,44,131.68656149106135,789.3765614091499,90,90
0,21,129.27212857512015,1140.978603054343,291,291
5,58,128.94574408124734,394.4714482788787,176,176
3,10,128.32873327925088,496.4402113297794,60,60
5,19,127.4782897738637,609.7775978542819,191,191
4,48,126.9201567097278,1514.6976223104389,333,333
8,47,126.58513778560562,470.572975591088,132,132
8,52,126.24377251791284,500.6494535360191,70,70
0,40,125.72202266477275,469.49943589372,206,206
2,4,125.40938052770265,384.8620146103561,165,165
7,51,125.37674181252507,551.0993806260007,111,111
0,9,124.04696650909571,428.54286311398215,297,297
5,61,123.89749045176802,326.40456768648517,75,75
3,56,122.88017419220223,432.0452827586697,195,195
7,4,122.82518353304768,402.5597045033019,152,152
4,65,122.3793696408164,864.5886134299144,193,193
3,38,119.38144305554647,389.60814531288645,178,178
5,25,119.18943486040551,544.3220443081999,55,55
6,11,118.71596932847297,884.6507114689244,152,152
7,3,118.10248838474143,433.6012140453974,323,323
3,28,117.99203314806597,360.2511727391459,58,58
4,18,115.93427384255828,319.4799469003027,120,120
7,30,115.0691813678119,449.1379592784477,148,148
9,22,114.89954962014325,552.8898490378551,315,315
7,20,114.08753867529163,772.367829213936,409,409
6,9,113.92972030093661,438.5415755979276,264,264
8,40,113.78720141727108,375.0271742966523,100,100
4,56,113.46680574523027,283.6365873955386,143,143
9,16,113.23625658483583,622.9851268471393,287,287
4,28,112.75061219924633,333.0426486502506,110,110
8,25,112.21068386391724,569.5148301612785,133,133
7,60,111.47951125133527,470.53721300801067,135,135
5,22,110.23244525383078,488.5958476890148,109,109
6,70,109.80451703888355,341.9877145571167,100,100
3,54,109.66160196561015,559.7031228141641,233,233
9,21,106.90193125121496,562.3347186345926,193,193
5,49,106.66148455865608,381.8911628638631,135,135
5,36,105.7783166749395,814.2882109164171,132,132
2,1,105.32232357701237,385.3305276623177,89,89
8,9,102.60127075968428,563.0360174280735,198,198
7,18,102.21182688442101,307.35154435819845,78,78
7,56,102.14122436218052,396.93287908172067,142,142
0,42,101.70041435397133,414.1034275336452,98,98
1,48,98.08670112398352,569.9125991543964,113,113
5,3,97.83384909261963,295.5057828749816,110,110
6,64,96.92075431003433,247.14733887169524,156,156
2,18,96.80977919982023,332.814771524462,144,144
7,5,96.14216592606756,468.5416631046311,198,198
5,67,94.32634378157829,827.2691544953329,58,58
7,55,93.26889982297386,538.3038110602,211,211
7,58,91.14508304593205,618.8244909765158,139,139
7,31,90.85312947076991,381.89908648816964,139,139
