Security,Acquisition_Event_Count,Acquisition_Quality_Jump_Sum,Acquisition_Quality_Jump_Avg,Acquisition_Quality_Jump_Max,Acquisition_Final_Return_Mean,Acquisition_Final_Return_Median,Loss_Event_Count,Loss_Quality_Loss_Sum,Loss_Quality_Loss_Avg,Loss_Quality_Loss_Max,Loss_Final_Return_Mean,Loss_Final_Return_Median,Total_Event_Count,Net_Quality_Delta,Event_Balance_Ratio,Weighted_Avg_Final_Return,Quality_Momentum_Score,Unique_Clusters,Unique_Blocks,Events_Per_Block,Net_Quality_Delta_Percentile,Quality_Momentum_Score_Percentile,Weighted_Avg_Final_Return_Percentile,Acquisition_Quality_Jump_Avg_Percentile,Loss_Quality_Loss_Avg_Percentile,Event_Balance_Ratio_Percentile,Events_Per_Block_Percentile,Composite_Quality_Event_Rank
AXIM,1.0,7.491818606825619,7.491818606825619,7.491818606825619,1.104870897815575,1.104870897815575,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.491818606825619,1.0,1.104870897815575,8.277492350394853,1,1,1.0,0.8177533385703064,0.9347996857816182,0.5168892380204242,0.4461901021209741,0.05734485467399843,0.94344069128044,0.5003927729772192,0.7580911233307149
ARYMF,2.0,21.96316173773613,10.981580868868065,11.306535231712031,782.3529435100564,782.3529435100564,1.0,5.991423874171624,5.991423874171624,5.991423874171624,782.3529435100564,782.3529435100564,3.0,15.971737863564506,0.6666666666666666,782.3529435100564,0.0,3,3,1.0,0.9803613511390417,0.48978790259230165,0.9607227022780833,0.8617439120188531,0.22152395915161036,0.802827965435978,0.5003927729772192,0.755164964650432
AMMCF,1.0,5.55813953488372,5.55813953488372,5.55813953488372,15.984554285209388,15.984554285209388,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.55813953488372,1.0,15.984554285209388,88.84438312011729,1,1,1.0,0.7329143754909663,0.9402985074626866,0.593872741555381,0.12647289866457187,0.05734485467399843,0.94344069128044,0.5003927729772192,0.7536527886881383
ACKAY,1.0,5.307602045092615,5.307602045092615,5.307602045092615,18.49368138805145,18.49368138805145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.307602045092615,1.0,18.49368138805145,98.15710115651311,1,1,1.0,0.7211311861743912,0.9410840534171249,0.6040848389630793,0.09505106048703849,0.05734485467399843,0.94344069128044,0.5003927729772192,0.7529457973291438
ASNCF,3.0,23.35152062395287,7.78384020798429,9.559760760858907,175.86327453268942,175.86327453268945,1.0,7.343557855170653,7.343557855170653,7.343557855170653,175.86327453268945,175.86327453268945,4.0,16.007962768782214,0.75,175.86327453268945,0.0,4,4,1.0,0.9819324430479183,0.48978790259230165,0.8853102906520032,0.4948939512961508,0.45640219952867245,0.8735271013354281,0.5003927729772192,0.7510801256873527
AMNI,4.0,30.104623837357316,7.526155959339329,9.87224157955865,129.4009841424029,129.4009841424029,1.0,14.132449425423866,14.132449425423866,14.132449425423866,129.4009841424029,129.4009841424029,5.0,15.97217441193345,0.8,129.4009841424029,0.0,5,5,1.0,0.98114689709348,0.48978790259230165,0.8499607227022781,0.45247446975648076,0.9583660644147682,0.8837391987431265,0.5003927729772192,0.745345640219953
BCHMF,2.0,24.002446542169444,12.001223271084722,14.245030719190458,373.7945566990687,373.7945566990687,1.0,10.36786830135176,10.36786830135176,10.36786830135176,373.7945566990687,373.7945566990687,3.0,13.634578240817685,0.6666666666666666,373.79455669906866,0.0,3,3,1.0,0.9583660644147682,0.48978790259230165,0.9300864100549883,0.9033778476040848,0.8153967007069913,0.802827965435978,0.5003927729772192,0.7435388845247447
AFNL,4.0,27.279316913327097,6.819829228331774,8.313057583130576,116.00000000000004,116.00000000000004,1.0,10.86861313868613,10.86861313868613,10.86861313868613,116.00000000000004,116.00000000000004,5.0,16.410703774640965,0.8,116.00000000000004,0.0,5,5,1.0,0.983503534956795,0.48978790259230165,0.835820895522388,0.32285938727415553,0.8515318146111548,0.8837391987431265,0.5003927729772192,0.7431068342498037
BGNX,2.0,21.7479013883446,10.8739506941723,15.118407202289328,209.9999941792464,209.9999941792464,1.0,6.69877012476283,6.69877012476283,6.69877012476283,209.9999941792464,209.9999941792464,3.0,15.04913126358177,0.6666666666666666,209.9999941792464,0.0,3,3,1.0,0.9732914375490966,0.48978790259230165,0.8970934799685781,0.8562450903377847,0.34171249018067557,0.802827965435978,0.5003927729772192,0.7406716417910447
BBBK,1.0,5.715617715617717,5.715617715617717,5.715617715617717,0.2184996358339278,0.2184996358339278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.715617715617717,1.0,0.2184996358339278,1.2488603894284176,1,1,1.0,0.7399842890809112,0.9332285938727416,0.5121759622937941,0.1476826394344069,0.05734485467399843,0.94344069128044,0.5003927729772192,0.737313432835821
AQQSQ,2.0,18.869974125390172,9.434987062695086,13.667661986661848,400.0,400.0,1.0,7.313536712678344,7.313536712678344,7.313536712678344,400.0,400.0,3.0,11.556437412711828,0.6666666666666666,400.0,0.0,3,3,1.0,0.9238020424194815,0.48978790259230165,0.9379418695993715,0.7336999214454045,0.4516889238020424,0.802827965435978,0.5003927729772192,0.7364689709347997
AZTA,3.0,25.146019112000683,8.382006370666895,11.576691380908247,150.0972202671736,150.0972202671736,1.0,13.319327731092436,13.319327731092436,13.319327731092436,150.0972202671736,150.0972202671736,4.0,11.826691380908247,0.75,150.0972202671736,0.0,4,4,1.0,0.9308719560094265,0.48978790259230165,0.8703849175176748,0.5899450117831894,0.9418695993715632,0.8735271013354281,0.5003927729772192,0.735329929300864
ASKH,2.0,16.88796054926919,8.443980274634596,11.164137067751524,352.72377303098506,352.72377303098506,1.0,5.201837873318017,5.201837873318017,5.201837873318017,352.72377303098506,352.72377303098506,3.0,11.686122675951175,0.6666666666666666,352.72377303098506,0.0,3,3,1.0,0.9269442262372348,0.48978790259230165,0.9245875883739199,0.600942655145326,0.12411626080125687,0.802827965435978,0.5003927729772192,0.7345836606441477
AGGI,2.0,22.775035358462915,11.387517679231458,16.1247890530442,372.10359370744646,372.10359370744646,1.0,11.882647795960487,11.882647795960487,11.882647795960487,372.10359370744646,372.10359370744646,3.0,10.892387562502428,0.6666666666666666,372.10359370744646,0.0,3,3,1.0,0.9120188531029065,0.48978790259230165,0.9293008641005499,0.8821681068342498,0.901413982717989,0.802827965435978,0.5003927729772192,0.7317949725058916
BABL,2.0,17.68325472262363,8.841627361311815,9.302446461986278,599.0384550908441,599.0384550908441,1.0,8.313057583130576,8.313057583130576,8.313057583130576,599.0384550908441,599.0384550908441,3.0,9.370197139493055,0.6666666666666666,599.0384550908441,0.0,3,3,1.0,0.8809897879025923,0.48978790259230165,0.9524744697564808,0.6539670070699136,0.6064414768263944,0.802827965435978,0.5003927729772192,0.7286724273369992
BABLD,2.0,17.68325472262363,8.841627361311815,9.302446461986278,599.0384550908441,599.0384550908441,1.0,8.313057583130576,8.313057583130576,8.313057583130576,599.0384550908441,599.0384550908441,3.0,9.370197139493055,0.6666666666666666,599.0384550908441,0.0,3,3,1.0,0.8809897879025923,0.48978790259230165,0.9524744697564808,0.6539670070699136,0.6064414768263944,0.802827965435978,0.5003927729772192,0.7286724273369992
AHFI,2.0,16.367198406587125,8.183599203293562,10.557724233858302,402810.013244426,402810.013244426,1.0,8.255933952528379,8.255933952528379,8.255933952528379,402810.013244426,402810.013244426,3.0,8.111264454058746,0.6666666666666666,402810.01324442605,0.0,3,3,1.0,0.8389630793401414,0.48978790259230165,1.0,0.565593087195601,0.5978004713275726,0.802827965435978,0.5003927729772192,0.7276708562450903
BAJFF,4.0,27.04047337080341,6.760118342700853,11.005963183821622,52.21164079899334,52.21164079899334,1.0,6.354978354978353,6.354978354978353,6.354978354978353,52.21164079899334,52.21164079899334,5.0,20.685495015825058,0.8,52.21164079899334,0.0,5,5,1.0,1.0,0.48978790259230165,0.7289866457187746,0.3126472898664572,0.27651217596229377,0.8837391987431265,0.5003927729772192,0.7258641005498823
ABGSF,2.0,19.35015043790301,9.675075218951505,10.08662457788871,110.26191062269052,110.26191062269052,1.0,5.895691609977324,5.895691609977324,5.895691609977324,110.26191062269052,110.26191062269052,3.0,13.454458827925688,0.6666666666666666,110.26191062269054,0.0,3,3,1.0,0.9560094265514533,0.48978790259230165,0.8303220738413197,0.7635506677140613,0.2007069913589945,0.802827965435978,0.5003927729772192,0.7229968578161822
BBTT,2.0,27.958454597923147,13.979227298961574,22.09139332772638,203.3333327124519,203.3333327124519,1.0,18.53448275862069,18.53448275862069,18.53448275862069,203.3333327124519,203.3333327124519,3.0,9.423971839302457,0.6666666666666666,203.3333327124519,0.0,3,3,1.0,0.8821681068342498,0.48978790259230165,0.8947368421052632,0.9520816967792616,0.992930086410055,0.802827965435978,0.5003927729772192,0.7174194815396701
AGSS,3.0,17.22192941534044,5.7406431384468135,6.252475527641033,33636.53894090793,33636.53894090793,1.0,11.26345274952086,11.26345274952086,11.26345274952086,33636.53894090793,33636.53894090793,4.0,5.95847666581958,0.75,33636.53894090793,0.0,4,4,1.0,0.753338570306363,0.48978790259230165,0.9960722702278083,0.15318146111547526,0.8719560094265515,0.8735271013354281,0.5003927729772192,0.7160840534171249
AABVF,2.0,15.722365871948632,7.861182935974316,7.999601514245866,306.6666679084305,306.6666679084305,1.0,7.174914097379679,7.174914097379679,7.174914097379679,306.6666679084305,306.6666679084305,3.0,8.547451774568954,0.6666666666666666,306.6666679084305,0.0,3,3,1.0,0.8538884524744698,0.48978790259230165,0.9183032207384132,0.5129615082482325,0.4336213668499607,0.802827965435978,0.5003927729772192,0.7150628436763551
ASPR,2.0,33.71088659659673,16.855443298298365,18.447070171208104,200.000021827838,200.000021827838,1.0,24.699641129661416,24.699641129661416,24.699641129661416,200.000021827838,200.000021827838,3.0,9.011245466935314,0.6666666666666666,200.00002182783797,0.0,3,3,1.0,0.8695993715632364,0.48978790259230165,0.8931657501963864,0.98586017282011,0.9968578161822467,0.802827965435978,0.5003927729772192,0.7139630793401414
ARES,2.0,16.354856175240723,8.177428087620362,9.267139479905438,165.92974332055374,165.92974332055374,1.0,6.994979679655749,6.994979679655749,6.994979679655749,165.92974332055374,165.92974332055374,3.0,9.359876495584974,0.6666666666666666,165.92974332055374,0.0,3,3,1.0,0.8798114689709348,0.48978790259230165,0.8790259230164965,0.5632364493322859,0.401413982717989,0.802827965435978,0.5003927729772192,0.7136881382560879
BCCEF,2.0,13.278650119538185,6.639325059769092,6.758893280632409,668.5345020896564,668.5345020896564,1.0,5.8041351010101,5.8041351010101,5.8041351010101,668.5345020896564,668.5345020896564,3.0,7.474515018528084,0.6666666666666666,668.5345020896564,0.0,2,3,1.0,0.8161822466614297,0.48978790259230165,0.9567949725058916,0.2906520031421838,0.18774548311076197,0.802827965435978,0.5003927729772192,0.7133346425765907
ALVLF,3.0,22.51536055539011,7.505120185130036,10.647058823529411,349.99999329447814,349.99999329447814,1.0,15.5,15.5,15.5,349.99999329447814,349.99999329447814,4.0,7.01536055539011,0.75,349.99999329447814,0.0,4,4,1.0,0.7973291437549097,0.48978790259230165,0.9238020424194815,0.4469756480754124,0.9780047132757266,0.8735271013354281,0.5003927729772192,0.7126276512175962
AHNR,3.0,27.210155472708657,9.070051824236218,11.819305152446908,136.36363913451356,136.36363913451356,2.0,14.832103427689473,7.416051713844737,8.878750658010173,136.36363913451356,136.36363913451356,5.0,12.378052045019183,0.6,136.36363913451356,0.0,5,5,1.0,0.9426551453260016,0.48978790259230165,0.8570306362922231,0.6849960722702279,0.46818538884524746,0.7128829536527886,0.5003927729772192,0.7115082482325216
AMFL,2.0,15.370437689728623,7.685218844864312,9.196905306745125,1214.1414026702128,1214.1414026702128,1.0,8.403254513094328,8.403254513094328,8.403254513094328,1214.1414026702128,1214.1414026702128,3.0,6.967183176634295,0.6666666666666666,1214.1414026702128,0.0,3,3,1.0,0.793401413982718,0.48978790259230165,0.9732914375490966,0.47682639434406915,0.6166535742340927,0.802827965435978,0.5003927729772192,0.7109387274155538
AIMLF,2.0,21.054358338906745,10.527179169453373,13.527191628066564,389.366326666933,389.366326666933,1.0,13.52813852813853,13.52813852813853,13.52813852813853,389.366326666933,389.366326666933,3.0,7.526219810768215,0.6666666666666666,389.366326666933,0.0,3,3,1.0,0.8185388845247447,0.48978790259230165,0.9340141398271798,0.8389630793401414,0.9465828750981933,0.802827965435978,0.5003927729772192,0.7093676355066771
AESO,3.0,22.999436614733813,7.6664788715779375,8.535279805352797,1450.0000836734955,1450.0000836734955,2.0,15.34426764669543,7.672133823347715,9.029903461266777,1450.0000836734955,1450.0000836734955,5.0,7.655168968038383,0.6,1450.0000836734955,0.0,5,5,1.0,0.8256087981146897,0.48978790259230165,0.9780047132757266,0.4721131186174391,0.5074626865671642,0.7128829536527886,0.5003927729772192,0.7064414768263944
BFYW,2.0,12.757219716764066,6.378609858382033,7.527888720561904,5412.694155721769,5412.694155721769,1.0,6.55645047336442,6.55645047336442,6.55645047336442,5412.694155721769,5412.694155721769,3.0,6.2007692433996455,0.6666666666666666,5412.694155721769,0.0,3,3,1.0,0.7619795758051846,0.48978790259230165,0.9897879025923016,0.2584446190102121,0.3118617439120189,0.802827965435978,0.5003927729772192,0.7063825608798114
